,time [s]
initialize,0.180784
pretrain_policy,24.201468
initialize_CEGIS,0.20809
iter0_learner,9.235175
iter0_plot,0.598983
iter0_verifier,10.583345
iter0_process_counterexamples,0.019416
iter1_learner,11.974415
iter1_plot,0.013918
iter1_verifier,0.900573
iter1_process_counterexamples,0.016789
iter2_learner,7.433464
iter2_plot,0.0139
iter2_verifier,0.890836
iter2_process_counterexamples,0.01821
iter3_learner,12.708118
iter3_plot,0.015116
iter3_verifier,0.876533
iter3_process_counterexamples,0.023343
iter4_learner,12.368524
iter4_plot,0.013734
iter4_verifier,0.816486
iter4_process_counterexamples,0.023013
iter5_learner,12.164864
iter5_plot,0.013757
iter5_verifier,1.056596
iter5_process_counterexamples,0.018777
iter6_learner,12.327721
iter6_plot,0.014148
iter6_verifier,0.898697
iter6_process_counterexamples,0.019731
iter7_learner,12.368539
iter7_plot,0.0145
iter7_verifier,1.384635
iter7_process_counterexamples,0.019455
iter8_learner,12.240047
iter8_plot,0.014342
iter8_verifier,14.847852
