,time [s]
initialize,0.181742
pretrain_policy,23.200012
initialize_CEGIS,0.03712
iter0_learner,9.069775
iter0_plot,0.318397
iter0_verifier,9.427214
iter0_process_counterexamples,0.019006
iter1_learner,11.786672
iter1_plot,0.013728
iter1_verifier,0.940796
iter1_process_counterexamples,0.019429
iter2_learner,7.472783
iter2_plot,0.013686
iter2_verifier,1.997842
iter2_process_counterexamples,0.021731
iter3_learner,12.553735
iter3_plot,0.013242
iter3_verifier,1.522578
iter3_process_counterexamples,0.01911
iter4_learner,12.50964
iter4_plot,0.013608
iter4_verifier,1.240856
iter4_process_counterexamples,0.018883
iter5_learner,12.323867
iter5_plot,0.013727
iter5_verifier,1.848619
iter5_process_counterexamples,0.023493
iter6_learner,12.061886
iter6_plot,0.013857
iter6_verifier,4.709102
iter6_process_counterexamples,0.018531
iter7_learner,11.820328
iter7_plot,0.014323
iter7_verifier,54.92014
