iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,3.8679047,[1.        0.9973359],8.378775,[1.        0.9973359],4.2610826,,10.051226,,12.885209,[0.99993724 1.        ],63.093395,[0.99993724 1.        ],111.895996,,710.4882,
1,3.8679047,[1.        0.9973359],8.378775,[1.        0.9973359],4.2610826,,10.051226,,0.7504706,[0.99988925 1.        ],3.5681157,[0.99988925 1.        ],24.659502,,161.02815,
2,3.8679047,[1.        0.9973359],8.378775,[1.        0.9973359],4.2610826,,10.051226,,0.31778523,[1.        0.9998862],1.3024,[1.        0.9998862],8.598569,,55.01346,
3,3.7225442,[1.        0.9998446],7.4171414,[1.        0.9998446],6.6159577,,18.655172,,0.44425875,[1.        0.9990115],1.6449136,[1.        0.9990115],20.24096,,128.64569,
4,3.7753477,[0.99992687 0.99999994],6.92448,[0.99992687 0.99999994],7.9527464,,22.779125,,0.44180864,[1.         0.99970794],1.6115788,[1.         0.99970794],23.097496,,147.18094,
5,3.8947895,[1.         0.99918187],6.766058,[1.         0.99918187],8.92713,,25.560703,,0.44997907,[1.        0.9992663],1.781164,[1.        0.9992663],23.189766,,148.02328,
6,3.8560045,[1.         0.99124736],6.4370313,[1.         0.99124736],9.022743,,25.493618,,0.7096224,[1.        0.9986289],2.5180964,[1.        0.9986289],31.981443,,204.20485,
7,4.4299064,[1.        0.9984413],7.0813327,[1.        0.9984413],10.60364,,29.401474,,0.6210084,[0.99990076 1.        ],2.4477289,[0.99990076 1.        ],36.11776,,233.8906,
8,4.5022526,[1.         0.97372437],7.07505,[1.         0.97372437],9.731432,,25.780018,,2.5151176,[0.99999994 0.9541796 ],8.904207,[0.99999994 0.9541796 ],82.96711,,530.0114,
9,0.6685736,[1.         0.99999803],1.0257986,[1.         0.99999803],3.3595726,,10.73691,,105.24479,[0.99999994 0.8368746 ],232.06853,[0.99999994 0.8368746 ],918.49646,,4303.2725,
10,0.60060585,[1.        0.9999424],0.9181465,[1.        0.9999424],3.2207959,,10.369764,,105.42558,[1.         0.83680224],233.24916,[1.         0.83680224],914.58905,,4282.6045,
