,time [s]
initialize,0.181919
pretrain_policy,23.200996
initialize_CEGIS,0.035609
iter0_learner,9.804826
iter0_plot,0.321329
iter0_verifier,6.726199
iter0_process_counterexamples,0.016988
iter1_learner,11.86854
iter1_plot,0.013837
iter1_verifier,0.258195
iter1_process_counterexamples,0.016776
iter2_learner,7.365381
iter2_plot,0.013518
iter2_verifier,0.172517
iter2_process_counterexamples,0.016444
iter3_learner,12.271946
iter3_plot,0.013459
iter3_verifier,0.180886
iter3_process_counterexamples,0.023299
iter4_learner,12.205087
iter4_plot,0.013578
iter4_verifier,0.176711
iter4_process_counterexamples,0.022486
iter5_learner,12.38328
iter5_plot,0.013776
iter5_verifier,0.172817
iter5_process_counterexamples,0.019202
iter6_learner,12.266557
iter6_plot,0.013933
iter6_verifier,0.177834
iter6_process_counterexamples,0.022924
iter7_learner,12.221955
iter7_plot,0.014081
iter7_verifier,0.170893
iter7_process_counterexamples,0.01947
iter8_learner,12.109147
iter8_plot,0.014207
iter8_verifier,13.032305
iter8_process_counterexamples,0.023513
iter9_learner,11.714515
iter9_plot,0.01475
iter9_verifier,50.654346
