iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.7305584,[0.99519414 1.         0.9952416 ],5.8933473,[0.99519414 1.         0.9952416 ],2.4535036,,9.933683,,19.524275,[1.         0.99960965 0.9996597 ],111.142334,[1.         0.99960965 0.9996597 ],103.28513,,685.21356,
1,1.7305584,[0.99519414 1.         0.9952416 ],5.8933473,[0.99519414 1.         0.9952416 ],2.4535036,,9.933683,,8.934721,[0.9996669 0.9997967 1.       ],21.081018,[0.9996669 0.9997967 1.       ],142.40819,,804.4907,
2,1.7305584,[0.99519414 1.         0.9952416 ],5.8933473,[0.99519414 1.         0.9952416 ],2.4535036,,9.933683,,6.092956,[0.99986607 0.9995024  1.        ],9.8817425,[0.99986607 0.9995024  1.        ],140.91301,,757.7631,
3,0.622966,[0.99996364 1.         0.99996793],1.8725834,[0.99996364 1.         0.99996793],3.447044,,17.913015,,8.542383,[0.9993236  1.         0.99956465],11.220657,[0.9993236  1.         0.99956465],209.16388,,1073.3071,
4,0.32041168,[0.9999751 1.        0.9998842],0.9057208,[0.9999751 1.        0.9998842],3.3467414,,18.75515,,8.700584,[0.9998953 1.        0.9978453],12.063378,[0.9998953 1.        0.9978453],230.93877,,1178.7587,
5,0.19594976,[0.99986744 0.99995273 1.        ],0.53031856,[0.99986744 0.99995273 1.        ],3.2715926,,19.132296,,9.587983,[1.         0.9997868  0.99900866],13.398663,[1.         0.9997868  0.99900866],251.41418,,1282.0114,
6,0.09871592,[0.9994108 0.999689  1.       ],0.25438797,[0.9994108 0.999689  1.       ],2.9103527,,17.716312,,10.241131,[1.         0.9999047  0.99954206],14.308597,[1.         0.9999047  0.99954206],410.4441,,1919.0024,
7,0.07822466,[0.99992144 1.         0.99989563],0.1982705,[0.99992144 1.         0.99989563],2.6701257,,16.39019,,10.939168,[1.        0.9980627 0.9973249],15.458201,[1.        0.9980627 0.9973249],427.48074,,1978.6151,
8,0.041748803,[0.9999221 0.9997016 1.       ],0.10208818,[0.9999221 0.9997016 1.       ],2.173023,,13.512832,,6.9981995,[0.999085  1.        0.9982406],8.898443,[0.999085  1.        0.9982406],207.07079,,1019.67633,
9,0.025222352,[0.9997623 0.9996589 1.       ],0.059507027,[0.9997623 0.9996589 1.       ],1.8282467,,11.475114,,7.3050785,[0.9989242 1.        0.996894 ],9.965717,[0.9989242 1.        0.996894 ],205.83751,,1014.00244,
10,0.017788634,[1.         0.99903667 0.99887824],0.041464835,[1.         0.99903667 0.99887824],1.5838522,,9.954274,,7.613449,[1.        0.9998026 0.9973615],10.362184,[1.        0.9998026 0.9973615],212.04109,,1025.4182,
11,0.013459306,[1.        0.9994202 0.9998212],0.031049874,[1.        0.9994202 0.9998212],1.4463485,,9.09692,,8.165108,[1.        0.9989341 0.9973748],11.212647,[1.        0.9989341 0.9973748],234.7582,,1150.9833,
12,0.011201457,[1.        0.9965527 0.9987613],0.026304862,[1.        0.9965527 0.9987613],1.2189157,,7.712453,,8.712559,[1.        0.993821  0.9992439],12.324414,[1.        0.993821  0.9992439],306.87564,,1409.2119,
13,0.0074319295,[0.99898803 0.99979985 1.        ],0.016494581,[0.99898803 0.99979985 1.        ],1.144564,,7.284839,,9.217548,[0.9999201 0.9995829 1.       ],12.988578,[0.9999201 0.9995829 1.       ],329.70605,,1505.9761,
14,0.0036426606,[0.99433976 1.         0.99891204],0.007807068,[0.99433976 1.         0.99891204],0.8882391,,5.64169,,7.8554893,[1.        0.9990722 0.9972014],10.71091,[1.        0.9990722 0.9972014],221.61325,,1064.2135,
15,0.0022237566,[1.        0.9973794 0.9989063],0.004713716,[1.        0.9973794 0.9989063],0.7372305,,4.720203,,8.290261,[1.         0.99912053 0.999643  ],11.273758,[1.         0.99912053 0.999643  ],224.74765,,1041.7919,
16,0.001074843,[0.9764317  1.         0.99121684],0.0021257962,[0.9764317  1.         0.99121684],0.5959174,,3.8104415,,7.8265676,[1.        0.9998788 0.9913703],10.521052,[1.        0.9998788 0.9913703],186.25333,,863.0237,
17,0.0015329525,[1.         0.99265885 0.98278385],0.0034735573,[1.         0.99265885 0.98278385],0.45215523,,2.9303029,,8.205256,[0.99966073 1.         0.9927216 ],10.977433,[0.99966073 1.         0.9927216 ],179.16547,,809.0326,
