,time [s]
initialize,0.003202
pretrain_policy,11.641263
initialize_CEGIS,0.274461
iter0_learner,12.44221
iter0_plot,0.26764
iter0_verifier,1.971877
iter0_process_counterexamples,0.048821
iter1_learner,75.352486
iter1_plot,0.005021
iter1_verifier,1.211544
iter1_process_counterexamples,0.033312
iter2_learner,72.459236
iter2_plot,0.004808
iter2_verifier,1.237282
iter2_process_counterexamples,0.037923
iter3_learner,73.046364
iter3_plot,0.004949
iter3_verifier,1.05941
iter3_process_counterexamples,0.036399
iter4_learner,74.000626
iter4_plot,0.00526
iter4_verifier,1.046233
iter4_process_counterexamples,0.030119
iter5_learner,74.8997
iter5_plot,0.005335
iter5_verifier,1.081876
iter5_process_counterexamples,0.030071
iter6_learner,75.033646
iter6_plot,0.005289
iter6_verifier,1.061191
iter6_process_counterexamples,0.029255
iter7_learner,76.65411
iter7_plot,0.005191
iter7_verifier,41.919014
iter7_process_counterexamples,0.035249
iter8_learner,75.06932
iter8_plot,0.005089
iter8_verifier,1.062377
iter8_process_counterexamples,0.030877
iter9_learner,76.59397
iter9_plot,0.005301
iter9_verifier,1.157287
iter9_process_counterexamples,0.03096
iter10_learner,77.16791
iter10_plot,0.005677
iter10_verifier,1.329182
iter10_process_counterexamples,0.035498
iter11_learner,78.733
iter11_plot,0.005891
iter11_verifier,1.318876
iter11_process_counterexamples,0.036282
iter12_learner,78.8952
iter12_plot,0.005511
iter12_verifier,1.394937
iter12_process_counterexamples,0.039961
iter13_learner,78.82964
iter13_plot,0.006165
iter13_verifier,57.14587
iter13_process_counterexamples,0.034894
iter14_learner,76.50443
iter14_plot,0.005967
iter14_verifier,38.280006
iter14_process_counterexamples,0.030907
iter15_learner,76.19135
iter15_plot,0.005809
iter15_verifier,48.53672
iter15_process_counterexamples,0.035229
iter16_learner,77.260025
iter16_plot,0.006057
iter16_verifier,49.598396
iter16_process_counterexamples,0.030573
iter17_learner,75.91639
iter17_plot,0.005909
iter17_verifier,58.768738
iter17_process_counterexamples,0.029575
