iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,22.482073,[0.9997815 0.9998373 1.       ],118.51462,[0.9997815 0.9998373 1.       ],112.15448,,718.3272,
1,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,12.6785345,[1.         0.99998116 0.99985635],41.765125,[1.         0.99998116 0.99985635],147.46736,,867.4063,
2,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,8.010613,[0.9999739 1.        0.9993559],18.880047,[0.9999739 1.        0.9993559],162.94077,,931.5707,
3,0.7169453,[0.99984264 1.         0.999905  ],2.2731502,[0.99984264 1.         0.999905  ],3.3229733,,17.142342,,10.278528,[1.         0.99979734 0.9997368 ],18.569248,[1.         0.99979734 0.9997368 ],203.723,,1091.1116,
4,0.37291518,[0.99996233 0.99991226 1.        ],1.1249714,[0.99996233 0.99991226 1.        ],2.9920487,,16.612253,,10.411258,[0.99941546 1.         0.9990445 ],17.514923,[0.99941546 1.         0.9990445 ],218.02744,,1150.3873,
5,0.27728936,[0.99984246 1.         0.99988395],0.8081662,[0.99984246 1.         0.99988395],2.8904831,,16.488451,,10.585759,[0.9994714  1.         0.99952585],17.020445,[0.9994714  1.         0.99952585],257.7148,,1346.2427,
6,0.19072592,[0.99983907 1.         0.99974567],0.5464553,[0.99983907 1.         0.99974567],2.5743706,,15.1585455,,10.10342,[1.         0.99944943 0.9982996 ],15.055483,[1.         0.99944943 0.9982996 ],387.48526,,2027.7307,
7,0.15764178,[0.999827  1.        0.9999943],0.44188803,[0.999827  1.        0.9999943],2.418517,,14.385683,,11.216285,[1.         0.99981815 0.9999278 ],16.364641,[1.         0.99981815 0.9999278 ],472.62387,,2482.4014,
8,0.2148308,[0.9999169 1.        0.9999499],0.62961394,[0.9999169 1.        0.9999499],2.599471,,15.345032,,12.04307,[1.         0.9997246  0.99993753],17.937693,[1.         0.9997246  0.99993753],634.13574,,3344.1392,
9,0.10825052,[0.99976355 1.         0.9997128 ],0.30146325,[0.99976355 1.         0.9997128 ],2.0146499,,12.356893,,4.815347,[0.998856 1.       0.998237],5.5410194,[0.998856 1.       0.998237],305.65976,,1683.2816,
10,0.09324101,[0.9994392 1.        0.9997419],0.26748493,[0.9994392 1.        0.9997419],1.8211187,,11.251999,,5.285471,[0.9988569  1.         0.99749696],6.25225,[0.9988569  1.         0.99749696],323.1871,,1781.4679,
11,0.06620102,[0.99949306 0.9997345  1.        ],0.18630768,[0.99949306 0.9997345  1.        ],1.5294576,,9.52411,,5.7621436,[0.99925077 1.         0.9970511 ],7.1496882,[0.99925077 1.         0.9970511 ],349.60873,,1916.4791,
12,0.048532087,[0.99942124 0.999512   1.        ],0.13531508,[0.99942124 0.999512   1.        ],1.2565788,,7.8711896,,6.094223,[0.9966363  1.         0.99879926],8.038457,[0.9966363  1.         0.99879926],353.25174,,1923.5616,
13,0.033953123,[0.99952996 0.999886   1.        ],0.09323201,[0.99952996 0.999886   1.        ],1.014648,,6.3925905,,6.4587655,[0.9993526 1.        0.9930508],8.695561,[0.9993526 1.        0.9930508],352.21225,,1906.6538,
14,0.029241385,[1.        0.9997459 0.9999679],0.08255232,[1.        0.9997459 0.9999679],0.899895,,5.706633,,7.646287,[0.99971354 1.         0.9929256 ],10.027728,[0.99971354 1.         0.9929256 ],367.1194,,1991.829,
15,0.028930359,[0.999975  1.        0.9997649],0.07938996,[0.999975  1.        0.9997649],0.85315216,,5.344289,,8.284278,[0.99707305 1.         0.987801  ],11.061083,[0.99707305 1.         0.987801  ],472.8019,,2626.0842,
16,0.024475656,[0.99851805 1.         0.99926096],0.060201697,[0.99851805 1.         0.99926096],0.71403146,,4.382699,,12.294266,[1.        0.9990434 0.9995484],20.29696,[1.        0.9990434 0.9995484],907.37054,,4954.7773,
17,0.022575298,[0.99866617 0.99886936 1.        ],0.055081703,[0.99866617 0.99886936 1.        ],0.6765012,,4.155001,,13.484861,[0.999678  0.9998474 1.       ],23.802269,[0.999678  0.9998474 1.       ],1111.3417,,6285.3936,
18,0.03291625,[0.9999378 1.        0.9999025],0.0778781,[0.9999378 1.        0.9999025],0.77273595,,4.6258674,,13.395083,[0.99969953 0.9998323  1.        ],24.921541,[0.99969953 0.9998323  1.        ],1172.6316,,6645.916,
