,time [s]
initialize,0.003369
pretrain_policy,10.880619
initialize_CEGIS,0.241668
iter0_learner,12.647972
iter0_plot,0.264591
iter0_verifier,13.822114
iter0_process_counterexamples,0.055233
iter1_learner,80.35334
iter1_plot,0.005042
iter1_verifier,8.695336
iter1_process_counterexamples,0.039403
iter2_learner,77.19162
iter2_plot,0.00483
iter2_verifier,7.267423
iter2_process_counterexamples,0.031212
iter3_learner,76.89716
iter3_plot,0.005637
iter3_verifier,4.884332
iter3_process_counterexamples,0.035999
iter4_learner,77.365265
iter4_plot,0.004876
iter4_verifier,4.170998
iter4_process_counterexamples,0.030216
iter5_learner,76.95467
iter5_plot,0.005089
iter5_verifier,4.09133
iter5_process_counterexamples,0.037048
iter6_learner,76.82341
iter6_plot,0.005143
iter6_verifier,3.832813
iter6_process_counterexamples,0.033042
iter7_learner,76.05285
iter7_plot,0.005233
iter7_verifier,3.695955
iter7_process_counterexamples,0.030221
iter8_learner,75.40087
iter8_plot,0.00521
