iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.8458674,[0.9993739  0.99961007 1.         0.9993227 ],8.669748,[0.9993739  0.99961007 1.         0.9993227 ],3.1163976,,9.990058,,44.580883,[0.99889284 0.97996783 1.         0.9189662 ],234.0738,[0.99889284 0.97996783 1.         0.9189662 ],145.63171,,904.8364,
1,2.8458674,[0.9993739  0.99961007 1.         0.9993227 ],8.669748,[0.9993739  0.99961007 1.         0.9993227 ],3.1163976,,9.990058,,27.92203,[0.9979786 1.        0.9980863 0.9998743],120.53225,[0.9979786 1.        0.9980863 0.9998743],152.51013,,927.0669,
2,2.8458674,[0.9993739  0.99961007 1.         0.9993227 ],8.669748,[0.9993739  0.99961007 1.         0.9993227 ],3.1163976,,9.990058,,31.137691,[0.9905759  1.         0.99917763 0.9994627 ],104.679146,[0.9905759  1.         0.99917763 0.9994627 ],224.34538,,1290.0978,
3,2.7281778,[0.99941486 0.9998453  0.9991373  1.        ],8.717765,[0.99941486 0.9998453  0.9991373  1.        ],4.376081,,17.079235,,23.570675,[1.         0.99975324 0.99969673 0.99971604],71.03113,[1.         0.99975324 0.99969673 0.99971604],223.35988,,1273.3868,
4,2.9228582,[0.9924628  0.9996982  0.99926263 1.        ],8.891041,[0.9924628  0.9996982  0.99926263 1.        ],5.648401,,22.878708,,20.000998,[0.9882457  0.9997491  1.         0.99971086],54.359104,[0.9882457  0.9997491  1.         0.99971086],234.53697,,1317.475,
5,3.5357208,[0.99990237 0.99985677 0.999957   1.        ],10.352125,[0.99990237 0.99985677 0.999957   1.        ],7.185936,,28.790691,,17.904802,[0.9924006  0.9998283  1.         0.99971855],45.583176,[0.9924006  0.9998283  1.         0.99971855],238.57524,,1330.9265,
6,3.9781818,[0.99997824 0.99938333 0.9998829  1.        ],11.822759,[0.99997824 0.99938333 0.9998829  1.        ],8.123253,,32.690334,,12.336347,[0.9478577  1.         0.99977183 0.9663318 ],30.846533,[0.9478577  1.         0.99977183 0.9663318 ],209.85107,,1205.3187,
7,4.0623484,[0.99999255 1.         0.99993175 0.9999817 ],12.361355,[0.99999255 1.         0.99993175 0.9999817 ],8.866607,,36.561153,,9.403564,[0.9882752  1.         0.99969655 0.97583514],23.54557,[0.9882752  1.         0.99969655 0.97583514],179.35603,,1046.9716,
8,4.038518,[0.99994147 0.99998707 0.9999915  1.        ],12.40294,[0.99994147 0.99998707 0.9999915  1.        ],8.852588,,36.612915,,7.712651,[1.         0.9985274  0.9998731  0.99944556],19.763483,[1.         0.9985274  0.9998731  0.99944556],153.32066,,902.3351,
9,4.062172,[0.9999821 0.9999916 0.9999931 1.       ],12.50082,[0.9999821 0.9999916 0.9999931 1.       ],8.796882,,36.272793,,7.50345,[0.9806457  0.97736835 0.9609091  1.        ],19.194592,[0.9806457  0.97736835 0.9609091  1.        ],146.4505,,863.23193,
10,3.9500637,[0.99999267 0.9999964  1.         0.99997705],12.200799,[0.99999267 0.9999964  1.         0.99997705],8.725941,,36.19499,,6.7783127,[1.         0.99955136 0.9606398  0.999459  ],17.152676,[1.         0.99955136 0.9606398  0.999459  ],144.26945,,851.9339,
11,3.909001,[0.9999789  0.99998    1.         0.99998957],12.083296,[0.9999789  0.99998    1.         0.99998957],8.653388,,35.914024,,6.7577443,[0.99990904 1.         0.94335693 0.9981897 ],16.81396,[0.99990904 1.         0.94335693 0.9981897 ],144.42827,,849.9395,
