,time [s]
initialize,0.003452
pretrain_policy,10.131609
initialize_CEGIS,0.241378
iter0_learner,6.652577
iter0_plot,0.264467
iter0_verifier,545.37476
iter0_process_counterexamples,5.192594
iter1_learner,26.224768
iter1_plot,0.005239
iter1_verifier,331.92953
iter1_process_counterexamples,1.150174
iter2_learner,26.466698
iter2_plot,0.005703
iter2_verifier,137.18402
iter2_process_counterexamples,0.186035
iter3_learner,26.154722
iter3_plot,0.004882
iter3_verifier,125.05248
iter3_process_counterexamples,0.126115
iter4_learner,25.97207
iter4_plot,0.005109
iter4_verifier,109.27969
iter4_process_counterexamples,0.08699
iter5_learner,26.31977
iter5_plot,0.005194
iter5_verifier,102.324936
iter5_process_counterexamples,0.079088
iter6_learner,26.581535
iter6_plot,0.005259
iter6_verifier,120.28855
iter6_process_counterexamples,0.093108
iter7_learner,26.846733
iter7_plot,0.005683
iter7_verifier,133.17268
iter7_process_counterexamples,0.104408
iter8_learner,27.64451
iter8_plot,0.005485
iter8_verifier,169.66121
iter8_process_counterexamples,0.159309
iter9_learner,27.317284
iter9_plot,0.005756
iter9_verifier,181.74211
iter9_process_counterexamples,0.194486
iter10_learner,27.059336
iter10_plot,0.008188
iter10_verifier,2620.8423
iter10_process_counterexamples,2.067492
iter11_learner,26.500088
iter11_plot,0.041806
