iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,15.04979,[1.         0.96743846],44.19219,[1.         0.96743846],46.09718,,158.11691,
1,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,9.653859,[1.        0.9648574],26.963615,[1.        0.9648574],41.811115,,144.21767,
2,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,4.8781366,[1.        0.9998681],13.793958,[1.        0.9998681],31.097122,,109.68351,
3,4.0840235,[1.         0.88764566],6.5242763,[1.         0.88764566],4.9511313,,9.199328,,3.438312,[1.         0.99979776],9.60096,[1.         0.99979776],26.14407,,92.259026,
4,3.0124223,[1.         0.95698816],4.9164166,[1.         0.95698816],3.8788123,,7.5984697,,3.050725,[1.         0.99840796],8.2375345,[1.         0.99840796],29.016476,,102.47647,
5,2.3697665,[1.        0.9998785],3.9291408,[1.        0.9998785],3.1941955,,6.48884,,3.106202,[1.         0.96405107],7.9090004,[1.         0.96405107],31.09844,,109.36417,
6,1.9191345,[0.9999726 1.       ],3.2480261,[0.9999726 1.       ],2.6700287,,5.587974,,5.1085014,[1.        0.9315146],11.55627,[1.        0.9315146],41.917183,,142.52666,
7,1.0428362,[1.       0.999805],1.8525997,[1.       0.999805],1.7640147,,4.083711,,13.79031,[1.        0.9124731],27.910992,[1.        0.9124731],68.80127,,211.39603,
8,0.47150224,[1.         0.99992496],0.8643146,[1.         0.99992496],0.9652985,,2.387969,,19.086441,[1.         0.88739604],39.030674,[1.         0.88739604],102.66251,,310.93115,
9,0.3396748,[1.         0.99997586],0.6234581,[1.         0.99997586],0.90488255,,2.3640585,,20.72918,[1.         0.89372873],42.04343,[1.         0.89372873],114.07467,,345.9739,
10,0.33673668,[1.        0.9999272],0.5902802,[1.        0.9999272],0.9604399,,2.5142665,,20.637743,[1.         0.88764155],41.903503,[1.         0.88764155],115.126045,,349.88272,
11,0.33659396,[0.9999985 1.       ],0.60049945,[0.9999985 1.       ],0.9408491,,2.4709916,,20.899403,[1.        0.8836466],42.278942,[1.        0.8836466],118.505486,,360.90103,
