,time [s]
initialize,0.003608
pretrain_policy,7.858446
initialize_CEGIS,0.175717
iter0_learner,4.318648
iter0_plot,0.095146
iter0_verifier,0.804112
iter0_process_counterexamples,0.023973
iter1_learner,7.477068
iter1_plot,0.004817
iter1_verifier,0.425354
iter1_process_counterexamples,0.025855
iter2_learner,5.991376
iter2_plot,0.004958
iter2_verifier,0.446019
iter2_process_counterexamples,0.025714
iter3_learner,6.233479
iter3_plot,0.004854
iter3_verifier,0.449713
iter3_process_counterexamples,0.024912
iter4_learner,6.221788
iter4_plot,0.004894
iter4_verifier,0.452745
iter4_process_counterexamples,0.025209
iter5_learner,6.330512
iter5_plot,0.005604
iter5_verifier,0.450948
iter5_process_counterexamples,0.024155
iter6_learner,6.353281
iter6_plot,0.005544
iter6_verifier,0.562553
iter6_process_counterexamples,0.024512
iter7_learner,6.298254
iter7_plot,0.005279
iter7_verifier,0.739395
iter7_process_counterexamples,0.024959
iter8_learner,6.242927
iter8_plot,0.005857
iter8_verifier,0.799961
iter8_process_counterexamples,0.025507
iter9_learner,6.230762
iter9_plot,0.005449
iter9_verifier,0.771134
iter9_process_counterexamples,0.023743
iter10_learner,6.209217
iter10_plot,0.005284
iter10_verifier,0.930514
iter10_process_counterexamples,0.023717
iter11_learner,6.241674
iter11_plot,0.005692
iter11_verifier,48.164722
