iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,15.009784,[1.        0.9678217],44.03707,[1.        0.9678217],45.997612,,157.78664,
1,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,9.58587,[1.       0.966968],26.707424,[1.       0.966968],40.98826,,141.7369,
2,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,4.8287926,[1.        0.9998067],13.658724,[1.        0.9998067],31.05038,,109.79397,
3,4.3498077,[1.        0.9695366],6.667596,[1.        0.9695366],5.3297153,,9.530563,,3.2979524,[1.        0.9998397],9.235294,[1.        0.9998397],25.587578,,90.72155,
4,3.3419342,[0.9999604 1.       ],5.2347093,[0.9999604 1.       ],4.396205,,8.413176,,2.86184,[1.         0.99979526],7.780009,[1.         0.99979526],26.482084,,93.18617,
5,2.7213047,[1.         0.99998754],4.333418,[1.         0.99998754],3.9071755,,7.9431925,,3.1515968,[1.        0.9873977],7.9030175,[1.        0.9873977],29.79542,,104.58692,
6,2.2010946,[1.         0.99980974],3.5735886,[1.         0.99980974],3.4322462,,7.370636,,4.162188,[1.         0.95678115],9.975235,[1.         0.95678115],37.766903,,131.09567,
7,1.4054284,[0.9999129 1.       ],2.3864417,[0.9999129 1.       ],2.9033227,,7.034234,,10.843687,[1.        0.9017784],21.259,[1.        0.9017784],60.57084,,191.84589,
8,0.57512105,[1.        0.9999854],1.0297816,[1.        0.9999854],2.006729,,5.5075717,,18.007011,[1.        0.8875504],36.55456,[1.        0.8875504],103.10001,,326.84222,
9,0.36511892,[0.999978 1.      ],0.67856854,[0.999978 1.      ],1.801053,,5.119292,,20.755192,[1.        0.8781681],42.0233,[1.        0.8781681],124.77168,,391.5357,
10,0.40045887,[0.9999933 1.       ],0.7197943,[0.9999933 1.       ],1.77106,,4.9700274,,20.988012,[1.        0.8601088],42.51514,[1.        0.8601088],127.50665,,401.83148,
11,0.34337842,[0.99993783 1.        ],0.6329323,[0.99993783 1.        ],1.7645121,,5.0534773,,20.63777,[1.         0.86874825],41.759308,[1.         0.86874825],128.3531,,405.54977,
12,0.36432382,[1.         0.99987817],0.67473865,[1.         0.99987817],1.7333684,,4.942198,,20.63633,[1.       0.854397],41.468426,[1.       0.854397],127.29421,,403.054,
