,time [s]
initialize,0.0034
pretrain_policy,7.788296
initialize_CEGIS,0.174808
iter0_learner,4.253299
iter0_plot,0.094993
iter0_verifier,0.783215
iter0_process_counterexamples,0.023898
iter1_learner,11.366293
iter1_plot,0.004668
iter1_verifier,0.407204
iter1_process_counterexamples,0.024783
iter2_learner,10.190812
iter2_plot,0.004672
iter2_verifier,0.425579
iter2_process_counterexamples,0.025552
iter3_learner,10.372949
iter3_plot,0.00513
iter3_verifier,0.423157
iter3_process_counterexamples,0.02482
iter4_learner,10.365599
iter4_plot,0.004701
iter4_verifier,0.423226
iter4_process_counterexamples,0.024442
iter5_learner,10.348364
iter5_plot,0.004794
iter5_verifier,0.430523
iter5_process_counterexamples,0.025287
iter6_learner,10.321659
iter6_plot,0.004867
iter6_verifier,0.521513
iter6_process_counterexamples,0.023758
iter7_learner,10.319008
iter7_plot,0.004949
iter7_verifier,0.678891
iter7_process_counterexamples,0.02435
iter8_learner,10.332737
iter8_plot,0.005166
iter8_verifier,0.68873
iter8_process_counterexamples,0.023656
iter9_learner,10.346432
iter9_plot,0.00509
iter9_verifier,0.74042
iter9_process_counterexamples,0.023558
iter10_learner,10.475779
iter10_plot,0.005143
iter10_verifier,0.664649
iter10_process_counterexamples,0.10556
iter11_learner,10.488517
iter11_plot,0.00527
iter11_verifier,45.549915
