iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,15.082215,[1.        0.9668747],44.162037,[1.        0.9668747],46.021,,157.80605,
1,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,9.7202835,[1.         0.96351695],27.024408,[1.         0.96351695],41.50183,,142.76808,
2,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,4.9708977,[1.        0.9997784],14.005145,[1.        0.9997784],31.70076,,111.64523,
3,4.1136303,[1.        0.8857882],6.5716605,[1.        0.8857882],4.969279,,9.217143,,3.4341094,[0.99996024 1.        ],9.581943,[0.99996024 1.        ],26.04583,,92.163086,
4,3.109649,[1.       0.950435],5.046953,[1.       0.950435],3.9139855,,7.5559063,,2.9476657,[1.        0.9995555],8.015816,[1.        0.9995555],26.629585,,94.35221,
5,2.463777,[1.        0.9999332],4.062863,[1.        0.9999332],3.351033,,6.818467,,3.3854609,[1.        0.9665711],8.637232,[1.        0.9665711],32.024445,,112.52655,
6,1.9247488,[0.9999876 1.       ],3.2497668,[0.9999876 1.       ],2.73937,,5.784637,,5.7639465,[1.        0.9297181],12.711354,[1.        0.9297181],43.16624,,145.36626,
7,1.0313848,[0.99997675 1.        ],1.8147907,[0.99997675 1.        ],1.7539201,,4.0529823,,14.601134,[1.         0.91624826],29.819881,[1.         0.91624826],76.524185,,242.0569,
8,0.49820036,[0.9999768 1.       ],0.88385004,[0.9999768 1.       ],1.0308217,,2.5317416,,19.004808,[1.         0.89101917],39.496304,[1.         0.89101917],104.568756,,327.42435,
9,0.3401714,[1.         0.99993086],0.61367226,[1.         0.99993086],0.93162954,,2.4294424,,20.452475,[1.        0.9134408],41.674366,[1.        0.9134408],115.08789,,359.7121,
10,0.34317428,[0.9999878 1.       ],0.5991069,[0.9999878 1.       ],0.993696,,2.599705,,20.578747,[1.         0.89570516],41.775543,[1.         0.89570516],116.97003,,365.67462,
11,0.35338524,[0.999989 1.      ],0.6209418,[0.999989 1.      ],0.96960735,,2.5283988,,20.462877,[1.       0.887268],41.57166,[1.       0.887268],117.28658,,367.14615,
