iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,14.970603,[1.         0.96841574],43.969955,[1.         0.96841574],45.986897,,157.73865,
1,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,9.641723,[1.         0.96745276],26.834509,[1.         0.96745276],41.258232,,142.24654,
2,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,5.0481224,[1.        0.9998287],14.242532,[1.        0.9998287],31.584646,,111.33774,
3,4.252738,[1.         0.91447085],6.7228723,[1.         0.91447085],5.2641854,,9.7198715,,3.5606408,[1.        0.9999712],9.95518,[1.        0.9999712],26.342367,,92.67152,
4,3.2815857,[1.         0.97712517],5.261494,[1.         0.97712517],4.351735,,8.446269,,3.0755436,[1.         0.99969506],8.36771,[1.         0.99969506],26.846033,,94.46401,
5,2.6627622,[1.        0.9997522],4.3226337,[1.        0.9997522],3.7013073,,7.4197235,,3.1264968,[1.        0.9747046],8.065414,[1.        0.9747046],30.294014,,106.13686,
6,2.117426,[1.         0.99996626],3.496647,[1.         0.99996626],3.195433,,6.7250905,,4.2271285,[1.        0.9383976],9.826979,[1.        0.9383976],38.219124,,132.27048,
7,1.3625476,[0.99991316 1.        ],2.326531,[0.99991316 1.        ],2.5090497,,5.750479,,10.840746,[1.        0.9014998],21.249615,[1.        0.9014998],62.18311,,197.043,
8,0.51365525,[0.99997 1.     ],0.9267601,[0.99997 1.     ],1.8020401,,4.8313155,,18.165615,[1.         0.87938833],37.036953,[1.         0.87938833],98.21231,,307.11356,
9,0.414448,[1.        0.9999225],0.7252393,[1.        0.9999225],1.6667607,,4.5208507,,20.349337,[1.        0.8735437],41.398193,[1.        0.8735437],109.09995,,340.32568,
10,0.36754492,[1.        0.9999933],0.64824843,[1.        0.9999933],1.6432143,,4.544233,,20.913736,[1.        0.8729579],42.294514,[1.        0.8729579],113.88122,,355.17343,
11,0.3653169,[1.        0.9999565],0.64301014,[1.        0.9999565],1.6241055,,4.4763856,,20.653887,[1.        0.8720164],41.764397,[1.        0.8720164],112.6059,,352.1159,
