,time [s]
initialize,0.003258
pretrain_policy,7.514161
initialize_CEGIS,0.168419
iter0_learner,4.610818
iter0_plot,0.094451
iter0_verifier,0.77641
iter0_process_counterexamples,0.025272
iter1_learner,11.149958
iter1_plot,0.004582
iter1_verifier,0.402021
iter1_process_counterexamples,0.024502
iter2_learner,9.803936
iter2_plot,0.004662
iter2_verifier,0.431768
iter2_process_counterexamples,0.024662
iter3_learner,10.031493
iter3_plot,0.004638
iter3_verifier,0.421848
iter3_process_counterexamples,0.025209
iter4_learner,10.015017
iter4_plot,0.004875
iter4_verifier,0.426151
iter4_process_counterexamples,0.024293
iter5_learner,9.987552
iter5_plot,0.004815
iter5_verifier,0.42474
iter5_process_counterexamples,0.025088
iter6_learner,10.013336
iter6_plot,0.004856
iter6_verifier,0.525864
iter6_process_counterexamples,0.024382
iter7_learner,10.049776
iter7_plot,0.004949
iter7_verifier,0.7069
iter7_process_counterexamples,0.025497
iter8_learner,10.057876
iter8_plot,0.005011
iter8_verifier,0.778455
iter8_process_counterexamples,0.023957
iter9_learner,10.037269
iter9_plot,0.005066
iter9_verifier,0.702226
iter9_process_counterexamples,0.02437
iter10_learner,10.030542
iter10_plot,0.005198
iter10_verifier,15.241806
iter10_process_counterexamples,0.038262
iter11_learner,10.035392
iter11_plot,0.005209
iter11_verifier,63.49392
