,time [s]
initialize,0.003507
pretrain_policy,7.589793
initialize_CEGIS,0.171289
iter0_learner,4.23378
iter0_plot,0.093794
iter0_verifier,0.779343
iter0_process_counterexamples,0.025986
iter1_learner,10.993714
iter1_plot,0.0047
iter1_verifier,0.398881
iter1_process_counterexamples,0.025345
iter2_learner,9.849901
iter2_plot,0.004615
iter2_verifier,0.427031
iter2_process_counterexamples,0.024767
iter3_learner,10.063882
iter3_plot,0.004859
iter3_verifier,0.420706
iter3_process_counterexamples,0.024139
iter4_learner,10.058213
iter4_plot,0.004758
iter4_verifier,0.426108
iter4_process_counterexamples,0.024053
iter5_learner,10.097835
iter5_plot,0.004806
iter5_verifier,0.426146
iter5_process_counterexamples,0.022925
iter6_learner,10.147994
iter6_plot,0.004876
iter6_verifier,0.527976
iter6_process_counterexamples,0.023319
iter7_learner,10.365664
iter7_plot,0.005109
iter7_verifier,0.712691
iter7_process_counterexamples,0.024159
iter8_learner,10.374365
iter8_plot,0.005011
iter8_verifier,0.695242
iter8_process_counterexamples,0.024266
iter9_learner,10.41558
iter9_plot,0.005123
iter9_verifier,0.904209
iter9_process_counterexamples,0.024402
iter10_learner,10.398093
iter10_plot,0.005347
iter10_verifier,0.773592
iter10_process_counterexamples,0.024533
iter11_learner,10.531981
iter11_plot,0.005243
iter11_verifier,40.223858
