iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,15.027799,[1.        0.9679247],44.066486,[1.        0.9679247],46.083633,,158.0012,
1,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,9.785908,[1.        0.9670468],27.102888,[1.        0.9670468],42.833874,,148.26999,
2,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,5.106785,[1.         0.99898064],14.332052,[1.         0.99898064],32.806877,,115.93836,
3,4.172682,[1.        0.9048913],6.695542,[1.        0.9048913],4.9735527,,9.14622,,3.5048203,[1.        0.9995315],9.741841,[1.        0.9995315],27.797848,,99.02923,
4,3.1721349,[1.        0.9671836],5.197579,[1.        0.9671836],4.173508,,8.244134,,3.1126065,[1.        0.9993163],8.367711,[1.        0.9993163],28.316364,,100.60138,
5,2.625138,[1.        0.9999961],4.346074,[1.        0.9999961],3.669575,,7.524357,,3.5125618,[1.       0.987669],8.497012,[1.       0.987669],32.208687,,112.70305,
6,2.0507648,[0.9999562 1.       ],3.4424055,[0.9999562 1.       ],2.9084222,,6.071109,,5.054867,[1.        0.9408292],10.966027,[1.        0.9408292],44.41416,,152.83286,
7,1.3046067,[0.9999593 1.       ],2.2675574,[0.9999593 1.       ],2.2326183,,5.0958457,,14.878634,[1.        0.8756448],29.35812,[1.        0.8756448],104.21237,,338.8392,
8,0.6283215,[0.99997663 1.        ],1.0802722,[0.99997663 1.        ],1.3613895,,3.3225703,,18.554781,[1.         0.87627065],38.051468,[1.         0.87627065],131.03967,,415.10352,
9,0.31354287,[0.99984246 1.        ],0.555293,[0.99984246 1.        ],1.1018456,,2.9875114,,21.040138,[1.         0.89552116],42.32068,[1.         0.89552116],143.72575,,446.29916,
10,0.36768645,[1.       0.999913],0.636699,[1.       0.999913],1.0549921,,2.7498183,,21.028042,[1.        0.8888059],42.357662,[1.        0.8888059],142.89355,,444.61658,
11,0.36000752,[1.         0.99996185],0.6212345,[1.         0.99996185],1.0209157,,2.6524804,,21.087465,[1.         0.89330494],42.482246,[1.         0.89330494],143.69318,,446.84412,
