,time [s]
initialize,0.003338
pretrain_policy,7.503769
initialize_CEGIS,0.167437
iter0_learner,4.264772
iter0_plot,0.094416
iter0_verifier,0.782143
iter0_process_counterexamples,0.023407
iter1_learner,11.435366
iter1_plot,0.004661
iter1_verifier,0.407377
iter1_process_counterexamples,0.02473
iter2_learner,10.270402
iter2_plot,0.004515
iter2_verifier,0.431625
iter2_process_counterexamples,0.02513
iter3_learner,10.400545
iter3_plot,0.005073
iter3_verifier,0.437119
iter3_process_counterexamples,0.025768
iter4_learner,10.402426
iter4_plot,0.004693
iter4_verifier,0.429549
iter4_process_counterexamples,0.02376
iter5_learner,10.408348
iter5_plot,0.004738
iter5_verifier,0.429218
iter5_process_counterexamples,0.023946
iter6_learner,10.36997
iter6_plot,0.004855
iter6_verifier,0.544714
iter6_process_counterexamples,0.024118
iter7_learner,10.434787
iter7_plot,0.004862
iter7_verifier,0.669183
iter7_process_counterexamples,0.023888
iter8_learner,10.433065
iter8_plot,0.004894
iter8_verifier,0.694725
iter8_process_counterexamples,0.024146
iter9_learner,10.431907
iter9_plot,0.005044
iter9_verifier,0.765529
iter9_process_counterexamples,0.02449
iter10_learner,10.470695
iter10_plot,0.00512
iter10_verifier,57.0829
iter10_process_counterexamples,0.02963
iter11_learner,10.608488
iter11_plot,0.00523
iter11_verifier,59.59387
