iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,15.005095,[1.         0.96819514],44.056335,[1.         0.96819514],46.00797,,157.83241,
1,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,9.706435,[1.         0.96512973],27.026682,[1.         0.96512973],42.057007,,145.12318,
2,5.343586,[1.        0.8227833],8.298204,[1.        0.8227833],5.892199,,10.0015955,,5.0277104,[1.        0.9998525],14.155668,[1.        0.9998525],31.597418,,111.44568,
3,4.1186714,[1.        0.8852587],6.5766835,[1.        0.8852587],4.950936,,9.154999,,3.501101,[1.        0.9998396],9.756289,[1.        0.9998396],26.10535,,92.35193,
4,3.1120896,[1.        0.9495574],5.0609813,[1.        0.9495574],4.059161,,7.985483,,3.0973687,[1.        0.9997516],8.360014,[1.        0.9997516],27.648426,,97.6641,
5,2.4873528,[1.         0.99670655],4.1048126,[1.         0.99670655],3.262195,,6.53067,,3.6090078,[1.         0.98251307],8.913491,[1.         0.98251307],31.627672,,110.303535,
6,1.9787825,[1.         0.99979836],3.3255951,[1.         0.99979836],2.9163315,,6.2230315,,5.326119,[1.        0.9496432],12.463729,[1.        0.9496432],42.219795,,144.29164,
7,1.0511183,[0.999886 1.      ],1.8698653,[0.999886 1.      ],1.734397,,3.9907594,,12.818146,[1.         0.90424573],25.590137,[1.         0.90424573],68.89427,,217.4054,
8,0.40789893,[0.9999911 1.       ],0.8041212,[0.9999911 1.       ],1.0577829,,2.7974842,,19.32478,[1.        0.8659815],39.353157,[1.        0.8659815],112.31004,,353.40668,
9,0.37684038,[0.9999961 1.       ],0.7132191,[0.9999961 1.       ],1.0326036,,2.7323644,,20.261358,[1.         0.84503156],41.72982,[1.         0.84503156],120.4795,,378.76093,
10,0.34373012,[1.         0.99999654],0.6567088,[1.         0.99999654],1.0098119,,2.7123637,,20.253084,[1.         0.84550226],41.680065,[1.         0.84550226],122.27585,,385.28403,
11,0.3622816,[1.        0.9976597],0.6783178,[1.        0.9976597],1.0110946,,2.6946084,,20.156784,[1.         0.83109057],41.423386,[1.         0.83109057],121.72581,,384.588,
