,time [s]
initialize,0.00344
pretrain_policy,7.552615
initialize_CEGIS,0.168982
iter0_learner,5.032081
iter0_plot,0.095032
iter0_verifier,0.777688
iter0_process_counterexamples,0.026459
iter1_learner,15.624997
iter1_plot,0.00453
iter1_verifier,0.415494
iter1_process_counterexamples,0.024873
iter2_learner,14.365154
iter2_plot,0.00455
iter2_verifier,0.434849
iter2_process_counterexamples,0.033189
iter3_learner,14.595812
iter3_plot,0.00454
iter3_verifier,0.594108
iter3_process_counterexamples,0.025424
iter4_learner,15.191866
iter4_plot,0.004647
iter4_verifier,0.441576
iter4_process_counterexamples,0.024357
iter5_learner,15.056164
iter5_plot,0.004739
iter5_verifier,0.443533
iter5_process_counterexamples,0.027229
iter6_learner,14.700408
iter6_plot,0.004729
iter6_verifier,0.444119
iter6_process_counterexamples,0.024493
iter7_learner,14.757451
iter7_plot,0.00487
iter7_verifier,0.549574
iter7_process_counterexamples,0.025316
iter8_learner,14.824571
iter8_plot,0.004858
iter8_verifier,0.71631
iter8_process_counterexamples,0.10255
iter9_learner,14.863278
iter9_plot,0.005032
iter9_verifier,0.737255
iter9_process_counterexamples,0.02381
iter10_learner,14.822545
iter10_plot,0.005388
iter10_verifier,0.826285
iter10_process_counterexamples,0.024128
iter11_learner,14.794448
iter11_plot,0.0053
iter11_verifier,58.794823
