iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,15.02955,[1.         0.96613365],44.409885,[1.         0.96613365],45.70743,,158.34084,
1,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,8.969223,[1.         0.99472755],25.995047,[1.         0.99472755],38.84891,,135.9722,
2,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,4.820232,[1.        0.9992528],14.032107,[1.        0.9992528],30.206865,,107.333,
3,4.2985773,[1.        0.9156569],6.7802434,[1.        0.9156569],5.300004,,9.740643,,3.4111977,[1.         0.99993944],9.772408,[1.         0.99993944],26.186655,,93.494736,
4,3.2544,[1.         0.98154926],5.2120585,[1.         0.98154926],4.367914,,8.511,,2.7959003,[1.         0.99985385],7.82245,[1.         0.99985385],23.946688,,85.42396,
5,2.6240215,[1.        0.9999276],4.2605367,[1.        0.9999276],3.7665362,,7.650894,,3.155605,[1.         0.99647427],8.344202,[1.         0.99647427],26.75903,,94.662056,
6,2.109735,[0.9999457 1.       ],3.467375,[0.9999457 1.       ],3.224797,,6.775501,,3.7480807,[1.         0.97749376],9.030343,[1.         0.97749376],31.61051,,109.95652,
7,1.6274135,[1.        0.9999709],2.7259881,[1.        0.9999709],2.7525322,,6.092515,,5.4320593,[1.         0.94409674],12.550421,[1.         0.94409674],35.85656,,121.4879,
8,0.7518848,[1.         0.99995106],1.347386,[1.         0.99995106],2.1338058,,5.504439,,13.9656725,[1.        0.8746987],27.41718,[1.        0.8746987],62.636543,,194.42041,
9,0.32947746,[0.9999668 1.       ],0.6475614,[0.9999668 1.       ],1.8200392,,5.188269,,21.33577,[1.        0.8155989],42.187206,[1.        0.8155989],100.25583,,305.1657,
10,0.3820539,[1.         0.99998045],0.7209535,[1.         0.99998045],1.7800078,,4.9869237,,21.56027,[1.        0.7965996],43.186993,[1.        0.7965996],102.601845,,313.1757,
11,0.33915588,[0.99998415 1.        ],0.6376805,[0.99998415 1.        ],1.7624794,,4.9937935,,21.022493,[1.       0.804808],42.813175,[1.       0.804808],103.284004,,318.0827,
12,0.34301174,[1.        0.9999736],0.64118016,[1.        0.9999736],1.7834977,,5.053697,,21.535887,[1.         0.80011994],43.768974,[1.         0.80011994],107.14505,,329.84448,
