,time [s]
initialize,0.003362
pretrain_policy,7.503881
initialize_CEGIS,0.177406
iter0_learner,2.885362
iter0_plot,0.09344
iter0_verifier,0.780585
iter0_process_counterexamples,0.024161
iter1_learner,3.601052
iter1_plot,0.00477
iter1_verifier,0.412559
iter1_process_counterexamples,0.025387
iter2_learner,2.576471
iter2_plot,0.004589
iter2_verifier,0.431887
iter2_process_counterexamples,0.025598
iter3_learner,2.787149
iter3_plot,0.004683
iter3_verifier,0.584823
iter3_process_counterexamples,0.024727
iter4_learner,2.753534
iter4_plot,0.00475
iter4_verifier,0.434387
iter4_process_counterexamples,0.024603
iter5_learner,2.747153
iter5_plot,0.00473
iter5_verifier,0.42924
iter5_process_counterexamples,0.022613
iter6_learner,2.775097
iter6_plot,0.004845
iter6_verifier,0.431931
iter6_process_counterexamples,0.023447
iter7_learner,2.765196
iter7_plot,0.004823
iter7_verifier,0.533236
iter7_process_counterexamples,0.024587
iter8_learner,2.797577
iter8_plot,0.004913
iter8_verifier,0.705349
iter8_process_counterexamples,0.023941
iter9_learner,2.774672
iter9_plot,0.005053
iter9_verifier,0.678299
iter9_process_counterexamples,0.023078
iter10_learner,2.825509
iter10_plot,0.005086
iter10_verifier,0.674102
iter10_process_counterexamples,0.025604
iter11_learner,2.845187
iter11_plot,0.005164
iter11_verifier,66.62372
