iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,15.094438,[1.        0.9648622],44.53979,[1.        0.9648622],45.851814,,158.64018,
1,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,8.817799,[1.        0.9976753],25.77804,[1.        0.9976753],37.895523,,132.85469,
2,5.5567617,[1.         0.84920007],8.504452,[1.         0.84920007],6.064581,,9.989481,,4.779736,[1.        0.9998827],14.012723,[1.        0.9998827],29.305115,,104.28434,
3,4.3019533,[1.         0.91602963],6.7842913,[1.         0.91602963],5.308658,,9.761487,,3.322775,[1.        0.9997616],9.558386,[1.        0.9997616],25.460035,,91.05458,
4,3.3103776,[1.         0.97848874],5.283944,[1.         0.97848874],4.4097657,,8.5417385,,2.6235118,[0.9999444 1.       ],7.4067507,[0.9999444 1.       ],22.531565,,80.49488,
5,2.622799,[1.        0.9999311],4.250568,[1.        0.9999311],3.738296,,7.55909,,2.7560263,[1.         0.99575436],7.479147,[1.         0.99575436],23.942276,,85.046974,
6,2.1103232,[1.         0.99997616],3.4783247,[1.         0.99997616],3.2687545,,6.9283867,,3.3044407,[1.         0.98243374],8.241535,[1.         0.98243374],25.631609,,89.55145,
7,1.6102116,[1.        0.9999353],2.7039583,[1.        0.9999353],2.805537,,6.253473,,5.890805,[1.        0.9354642],12.169812,[1.        0.9354642],37.18849,,122.36806,
8,0.8140248,[1.        0.9997779],1.4583803,[1.        0.9997779],2.2135231,,5.6922703,,13.623291,[1.         0.88553876],28.138594,[1.         0.88553876],56.289867,,175.74466,
9,0.33524272,[1.         0.99990517],0.669052,[1.         0.99990517],1.819963,,5.208184,,20.815046,[1.        0.8337545],41.08942,[1.        0.8337545],93.98092,,285.43896,
10,0.40655756,[0.99997973 1.        ],0.7719193,[0.99997973 1.        ],1.7550625,,4.9006824,,21.822397,[1.        0.8136005],43.565857,[1.        0.8136005],101.954834,,310.54712,
11,0.3480156,[0.9999678 1.       ],0.66616905,[0.9999678 1.       ],1.7047572,,4.841787,,21.8676,[1.         0.82333684],44.198105,[1.         0.82333684],105.7735,,324.0979,
12,0.35238513,[1.         0.99999315],0.6681884,[1.         0.99999315],1.7370241,,4.9362826,,22.28464,[1.        0.8185813],44.784878,[1.        0.8185813],109.453995,,335.69727,
