,time [s]
initialize,0.003419
pretrain_policy,7.540548
initialize_CEGIS,0.175554
iter0_learner,2.971775
iter0_plot,0.094121
iter0_verifier,0.785229
iter0_process_counterexamples,0.024904
iter1_learner,3.594733
iter1_plot,0.004654
iter1_verifier,0.413072
iter1_process_counterexamples,0.02499
iter2_learner,2.571034
iter2_plot,0.004539
iter2_verifier,0.37258
iter2_process_counterexamples,0.024454
iter3_learner,2.775946
iter3_plot,0.004632
iter3_verifier,0.37049
iter3_process_counterexamples,0.023021
iter4_learner,2.74244
iter4_plot,0.004654
iter4_verifier,0.423468
iter4_process_counterexamples,0.023512
iter5_learner,2.750857
iter5_plot,0.004907
iter5_verifier,0.433944
iter5_process_counterexamples,0.024127
iter6_learner,2.769771
iter6_plot,0.004811
iter6_verifier,0.430684
iter6_process_counterexamples,0.024363
iter7_learner,2.782807
iter7_plot,0.004932
iter7_verifier,0.531445
iter7_process_counterexamples,0.023749
iter8_learner,2.782811
iter8_plot,0.005163
iter8_verifier,0.709631
iter8_process_counterexamples,0.022777
iter9_learner,2.831399
iter9_plot,0.00528
iter9_verifier,0.664751
iter9_process_counterexamples,0.023234
iter10_learner,2.836764
iter10_plot,0.005205
iter10_verifier,0.674651
iter10_process_counterexamples,0.023023
iter11_learner,2.866025
iter11_plot,0.005348
iter11_verifier,0.876568
iter11_process_counterexamples,0.023473
iter12_learner,2.883072
iter12_plot,0.005456
iter12_verifier,58.706455
