,time [s]
initialize,0.003319
pretrain_policy,7.550933
initialize_CEGIS,0.17621
iter0_learner,3.191264
iter0_plot,0.093969
iter0_verifier,0.780719
iter0_process_counterexamples,0.024826
iter1_learner,3.835174
iter1_plot,0.00469
iter1_verifier,0.426039
iter1_process_counterexamples,0.025068
iter2_learner,2.745201
iter2_plot,0.004534
iter2_verifier,0.37125
iter2_process_counterexamples,0.024466
iter3_learner,2.906872
iter3_plot,0.004686
iter3_verifier,0.374697
iter3_process_counterexamples,0.025797
iter4_learner,2.904974
iter4_plot,0.00473
iter4_verifier,0.434935
iter4_process_counterexamples,0.02382
iter5_learner,2.928309
iter5_plot,0.004737
iter5_verifier,0.431461
iter5_process_counterexamples,0.024413
iter6_learner,2.922129
iter6_plot,0.004857
iter6_verifier,0.374255
iter6_process_counterexamples,0.022647
iter7_learner,2.915941
iter7_plot,0.004911
iter7_verifier,0.531245
iter7_process_counterexamples,0.023964
iter8_learner,2.936343
iter8_plot,0.005416
iter8_verifier,0.706666
iter8_process_counterexamples,0.023097
iter9_learner,2.958392
iter9_plot,0.00509
iter9_verifier,0.681579
iter9_process_counterexamples,0.02394
iter10_learner,2.971811
iter10_plot,0.005144
iter10_verifier,0.662462
iter10_process_counterexamples,0.023757
iter11_learner,3.003231
iter11_plot,0.005132
iter11_verifier,0.882746
iter11_process_counterexamples,0.023434
iter12_learner,2.93972
iter12_plot,0.005262
iter12_verifier,47.980473
