iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,15.123004,[1.         0.96477264],44.456684,[1.         0.96477264],46.00337,,158.9878,
1,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,9.338949,[1.        0.9883506],26.69677,[1.        0.9883506],40.1363,,139.67506,
2,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,4.9579973,[1.        0.9996096],14.266292,[1.        0.9996096],31.415302,,111.361206,
3,4.042754,[1.        0.8379232],6.450927,[1.        0.8379232],4.880747,,9.094429,,3.5538723,[1.        0.9996594],10.018494,[1.        0.9996594],27.34705,,97.586555,
4,2.9937224,[1.         0.89987713],4.8790903,[1.         0.89987713],3.941643,,7.860378,,3.0909612,[0.99997073 1.        ],8.439567,[0.99997073 1.        ],25.95242,,92.33709,
5,2.4204512,[1.         0.94174176],3.9891317,[1.         0.94174176],3.3620536,,6.947927,,3.2154934,[1.        0.9855382],8.426166,[1.        0.9855382],27.180182,,96.1191,
6,1.9353962,[1.        0.9887241],3.2424023,[1.        0.9887241],2.9349709,,6.3970895,,3.9250433,[1.        0.9595329],9.495674,[1.        0.9595329],31.423876,,109.27431,
7,1.3486555,[1.        0.9997985],2.3257086,[1.        0.9997985],2.3104784,,5.380245,,8.28126,[1.         0.92385817],16.420315,[1.         0.92385817],39.38071,,125.87816,
8,0.5740088,[0.99998146 1.        ],1.0920511,[0.99998146 1.        ],1.7064548,,4.708263,,16.730946,[1.        0.8625109],33.883472,[1.        0.8625109],78.8329,,241.3748,
9,0.3355609,[1.         0.99967617],0.6497273,[1.         0.99967617],1.4168785,,4.109059,,20.898561,[1.         0.84020513],42.14077,[1.         0.84020513],104.992226,,317.78717,
10,0.36155725,[1.        0.9999865],0.68277717,[1.        0.9999865],1.3477533,,3.844277,,21.290491,[1.        0.8323428],43.20769,[1.        0.8323428],109.11605,,329.8774,
11,0.3366939,[0.9999782 1.       ],0.6401513,[0.9999782 1.       ],1.3565094,,3.9170632,,21.263922,[1.         0.83716905],43.284138,[1.         0.83716905],110.33262,,334.33466,
