iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,15.210856,[1.         0.96452063],44.518524,[1.         0.96452063],46.224495,,159.6686,
1,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,9.284497,[1.         0.99059796],26.66794,[1.         0.99059796],39.918167,,139.20255,
2,5.2292843,[1.        0.7785198],8.13332,[1.        0.7785198],5.7800694,,9.9981165,,4.957868,[1.        0.9995953],14.311082,[1.        0.9995953],31.294746,,111.18092,
3,4.0362644,[1.         0.83775234],6.445674,[1.         0.83775234],4.9023747,,9.169719,,3.5011435,[1.         0.99931586],9.93452,[1.         0.99931586],27.028128,,96.60772,
4,3.0136423,[1.        0.8988173],4.903064,[1.        0.8988173],3.9425344,,7.81514,,3.0139818,[1.         0.99927896],8.2767105,[1.         0.99927896],25.648998,,91.51289,
5,2.4162853,[1.        0.9422279],3.9890113,[1.        0.9422279],3.3898902,,7.052488,,3.221893,[1.       0.984204],8.429112,[1.       0.984204],27.631516,,97.87129,
6,1.9261955,[1.        0.9907453],3.2197008,[1.        0.9907453],2.8674014,,6.1834507,,4.1144776,[1.        0.9681047],9.742992,[1.        0.9681047],29.53995,,102.13287,
7,1.3350633,[0.9998833 1.       ],2.3188605,[0.9998833 1.       ],2.4177394,,5.739199,,8.252468,[1.         0.91516376],16.819689,[1.         0.91516376],43.463673,,139.79977,
8,0.56207484,[1.        0.9999379],1.0630862,[1.        0.9999379],1.7113024,,4.722447,,17.135902,[1.         0.85801995],35.095848,[1.         0.85801995],81.60501,,251.72012,
9,0.31356782,[1.         0.99989253],0.61054623,[1.         0.99989253],1.388267,,4.042279,,21.579891,[1.        0.8337177],43.41847,[1.        0.8337177],109.10484,,332.35278,
10,0.3635125,[1.        0.9999785],0.6861531,[1.        0.9999785],1.3544052,,3.8461704,,21.764011,[1.         0.81976324],43.839527,[1.         0.81976324],111.87311,,341.15836,
11,0.32705534,[1.         0.99996954],0.6216425,[1.         0.99996954],1.3270957,,3.8351703,,21.444164,[1.        0.8262993],43.545845,[1.        0.8262993],113.85618,,349.16113,
