,time [s]
initialize,0.00319
pretrain_policy,7.478029
initialize_CEGIS,0.177788
iter0_learner,3.152953
iter0_plot,0.094066
iter0_verifier,0.793914
iter0_process_counterexamples,0.024451
iter1_learner,3.824672
iter1_plot,0.004638
iter1_verifier,0.41035
iter1_process_counterexamples,0.024843
iter2_learner,2.679319
iter2_plot,0.00459
iter2_verifier,0.375776
iter2_process_counterexamples,0.024187
iter3_learner,2.922972
iter3_plot,0.00468
iter3_verifier,0.370433
iter3_process_counterexamples,0.025667
iter4_learner,2.875686
iter4_plot,0.004696
iter4_verifier,0.556279
iter4_process_counterexamples,0.026763
iter5_learner,2.910431
iter5_plot,0.004855
iter5_verifier,0.434971
iter5_process_counterexamples,0.024337
iter6_learner,2.858232
iter6_plot,0.004922
iter6_verifier,0.43434
iter6_process_counterexamples,0.026897
iter7_learner,2.898081
iter7_plot,0.004948
iter7_verifier,0.568661
iter7_process_counterexamples,0.024493
iter8_learner,2.895739
iter8_plot,0.005007
iter8_verifier,0.434872
iter8_process_counterexamples,0.023975
iter9_learner,2.923045
iter9_plot,0.005265
iter9_verifier,0.707804
iter9_process_counterexamples,0.024217
iter10_learner,2.930859
iter10_plot,0.005628
iter10_verifier,0.815683
iter10_process_counterexamples,0.024447
iter11_learner,2.954025
iter11_plot,0.005396
iter11_verifier,0.665625
iter11_process_counterexamples,0.024728
iter12_learner,2.952974
iter12_plot,0.005547
iter12_verifier,46.079353
