iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,15.131587,[1.         0.96681356],44.48356,[1.         0.96681356],46.28163,,159.58105,
1,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,8.895007,[1.         0.99550134],25.836151,[1.         0.99550134],38.751183,,135.75777,
2,5.5860577,[1.        0.9030743],8.337287,[1.        0.9030743],6.1260037,,9.999242,,4.818106,[1.        0.9999725],14.037972,[1.        0.9999725],30.464317,,108.39481,
3,4.3299932,[1.        0.9734171],6.6341133,[1.        0.9734171],5.371854,,9.685367,,3.3349423,[1.        0.9998359],9.598338,[1.        0.9998359],26.082207,,93.419,
4,3.3384118,[1.       0.999887],5.201713,[1.       0.999887],4.5689406,,8.87744,,2.649821,[0.9999998 1.       ],7.463124,[0.9999998 1.       ],23.215948,,82.95934,
5,2.6670823,[0.99992186 1.        ],4.233097,[0.99992186 1.        ],3.9654262,,8.151256,,2.7602048,[1.        0.9932296],7.419703,[1.        0.9932296],24.521303,,87.10453,
6,2.1541238,[0.9999817 1.       ],3.4955943,[0.9999817 1.       ],3.5016882,,7.615271,,3.3602026,[1.         0.98226064],8.242344,[1.         0.98226064],26.398836,,92.045746,
7,1.7116376,[1.        0.9999684],2.8211205,[1.        0.9999684],3.2112818,,7.41638,,5.010635,[1.        0.9454552],11.267285,[1.        0.9454552],32.695,,109.86558,
8,0.9111346,[0.999975 1.      ],1.6112565,[0.999975 1.      ],2.5755875,,6.788087,,12.46839,[1.         0.88283813],24.900953,[1.         0.88283813],57.403713,,179.31903,
9,0.37305406,[1.        0.9999879],0.7404023,[1.        0.9999879],2.1359708,,6.2401476,,20.175558,[1.        0.8178978],40.424957,[1.        0.8178978],102.883,,315.89072,
10,0.40963462,[1.        0.9999951],0.7859709,[1.        0.9999951],2.07449,,5.9929647,,21.194809,[1.        0.8000997],42.792217,[1.        0.8000997],111.53303,,343.6123,
11,0.36347246,[1.         0.99998134],0.70002997,[1.         0.99998134],2.0110056,,5.871613,,21.158136,[1.        0.8105876],43.04808,[1.        0.8105876],113.34052,,350.39517,
12,0.3720052,[1.         0.99664307],0.7134647,[1.         0.99664307],1.9848523,,5.7799315,,21.594889,[1.        0.8052874],43.812794,[1.        0.8052874],118.11639,,365.524,
