iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,15.414366,[1.         0.96416694],44.837402,[1.         0.96416694],46.834175,,161.18977,
1,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,8.923129,[1.         0.99802357],26.060139,[1.         0.99802357],38.188183,,133.90643,
2,5.3970003,[1.        0.8418343],8.463332,[1.        0.8418343],5.8844204,,9.9995165,,4.8269615,[1.        0.9997726],14.10365,[1.        0.9997726],29.19825,,103.70049,
3,4.220703,[1.        0.9032897],6.7617297,[1.        0.9032897],5.026801,,9.2284,,3.3152962,[1.        0.9994223],9.541958,[1.        0.9994223],26.313679,,93.882515,
4,3.1797156,[1.         0.96600443],5.177845,[1.         0.96600443],4.145704,,8.122639,,2.5364792,[1.       0.999845],7.154647,[1.       0.999845],24.281069,,87.0829,
5,2.4786873,[1.        0.9998711],4.117943,[1.        0.9998711],3.4637272,,7.1212683,,2.792078,[1.        0.9968675],7.4992576,[1.        0.9968675],28.308702,,101.02142,
6,2.0138714,[1.        0.9997604],3.390716,[1.        0.9997604],2.8606317,,5.9896054,,3.2254195,[1.        0.9849429],7.9804316,[1.        0.9849429],31.052872,,109.392,
7,1.5612198,[1.         0.99994123],2.6741374,[1.         0.99994123],2.4745445,,5.4654393,,4.4304247,[1.        0.9643553],10.255354,[1.        0.9643553],36.709606,,127.265915,
8,0.9134317,[1.         0.99995595],1.6214987,[1.         0.99995595],1.7668453,,4.2330847,,10.184197,[1.         0.88881797],20.079002,[1.         0.88881797],54.28929,,172.84468,
9,0.3377461,[1.        0.9999987],0.6541168,[1.        0.9999987],1.3913893,,3.8857539,,19.16593,[1.        0.8260753],38.34883,[1.        0.8260753],100.17844,,315.48468,
10,0.3781864,[1.         0.99998736],0.70489675,[1.         0.99998736],1.3208624,,3.6127396,,21.67072,[1.         0.80488986],43.588276,[1.         0.80488986],113.4984,,355.85764,
11,0.34187344,[0.9999881 1.       ],0.6428572,[0.9999881 1.       ],1.3158377,,3.6623192,,22.122662,[1.        0.8153455],44.674473,[1.        0.8153455],118.96161,,375.05896,
12,0.36462778,[1.       0.997514],0.6565941,[1.       0.997514],1.2967837,,3.5440962,,21.545631,[1.         0.81191117],43.949883,[1.         0.81191117],119.91209,,380.188,
