,time [s]
initialize,0.003508
pretrain_policy,7.510551
initialize_CEGIS,0.175874
iter0_learner,3.26493
iter0_plot,0.091761
iter0_verifier,0.778778
iter0_process_counterexamples,0.02502
iter1_learner,3.844045
iter1_plot,0.00483
iter1_verifier,0.423782
iter1_process_counterexamples,0.025426
iter2_learner,2.728288
iter2_plot,0.004524
iter2_verifier,0.370999
iter2_process_counterexamples,0.024954
iter3_learner,2.871643
iter3_plot,0.004661
iter3_verifier,0.372931
iter3_process_counterexamples,0.025757
iter4_learner,2.840867
iter4_plot,0.004782
iter4_verifier,0.380321
iter4_process_counterexamples,0.024093
iter5_learner,2.85978
iter5_plot,0.004711
iter5_verifier,0.433113
iter5_process_counterexamples,0.023437
iter6_learner,2.873643
iter6_plot,0.004786
iter6_verifier,0.433401
iter6_process_counterexamples,0.022934
iter7_learner,2.943901
iter7_plot,0.004909
iter7_verifier,0.529035
iter7_process_counterexamples,0.023563
iter8_learner,2.872316
iter8_plot,0.004951
iter8_verifier,0.531334
iter8_process_counterexamples,0.023394
iter9_learner,2.865228
iter9_plot,0.005048
iter9_verifier,0.691304
iter9_process_counterexamples,0.022723
iter10_learner,2.87444
iter10_plot,0.005399
iter10_verifier,0.662733
iter10_process_counterexamples,0.022973
iter11_learner,2.930461
iter11_plot,0.005163
iter11_verifier,0.707284
iter11_process_counterexamples,0.023597
iter12_learner,2.909254
iter12_plot,0.005194
iter12_verifier,67.378136
