,time [s]
initialize,0.003361
pretrain_policy,7.569555
initialize_CEGIS,0.175141
iter0_learner,2.822934
iter0_plot,0.093657
iter0_verifier,0.779364
iter0_process_counterexamples,0.025214
iter1_learner,3.587387
iter1_plot,0.004769
iter1_verifier,0.40982
iter1_process_counterexamples,0.026026
iter2_learner,2.576155
iter2_plot,0.004535
iter2_verifier,0.4323
iter2_process_counterexamples,0.025134
iter3_learner,2.783022
iter3_plot,0.004718
iter3_verifier,0.421512
iter3_process_counterexamples,0.023946
iter4_learner,2.763736
iter4_plot,0.00466
iter4_verifier,0.4329
iter4_process_counterexamples,0.02352
iter5_learner,2.741668
iter5_plot,0.00501
iter5_verifier,0.42952
iter5_process_counterexamples,0.03095
iter6_learner,2.737
iter6_plot,0.005003
iter6_verifier,0.431705
iter6_process_counterexamples,0.023729
iter7_learner,2.785405
iter7_plot,0.004931
iter7_verifier,0.526173
iter7_process_counterexamples,0.024006
iter8_learner,2.761163
iter8_plot,0.004897
iter8_verifier,0.676779
iter8_process_counterexamples,0.023399
iter9_learner,2.791536
iter9_plot,0.005046
iter9_verifier,0.824343
iter9_process_counterexamples,0.023608
iter10_learner,2.79125
iter10_plot,0.005158
iter10_verifier,20.30812
iter10_process_counterexamples,0.032488
iter11_learner,2.8347
iter11_plot,0.005172
iter11_verifier,0.937725
iter11_process_counterexamples,0.025212
iter12_learner,2.834468
iter12_plot,0.005307
iter12_verifier,45.330944
