,time [s]
initialize,0.003321
pretrain_policy,7.676978
initialize_CEGIS,0.244446
iter0_learner,3.114008
iter0_plot,0.202304
iter0_verifier,1.305443
iter0_process_counterexamples,0.024673
iter1_learner,3.828712
iter1_plot,0.004662
iter1_verifier,0.918533
iter1_process_counterexamples,0.025209
iter2_learner,2.781557
iter2_plot,0.00449
iter2_verifier,1.056688
iter2_process_counterexamples,0.024781
iter3_learner,3.123986
iter3_plot,0.004674
iter3_verifier,1.038974
iter3_process_counterexamples,0.025619
iter4_learner,2.934327
iter4_plot,0.00469
iter4_verifier,1.011974
iter4_process_counterexamples,0.024056
iter5_learner,2.952583
iter5_plot,0.004911
iter5_verifier,29.64622
iter5_process_counterexamples,0.045044
iter6_learner,2.872505
iter6_plot,0.004839
iter6_verifier,73.960045
