iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.272738,[0.99991864 0.9984508  1.        ],118.14945,[0.99991864 0.9984508  1.        ],113.33673,,727.9113,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,13.224337,[0.99999124 1.         0.9979997 ],35.686943,[0.99999124 1.         0.9979997 ],187.0848,,1076.7224,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,8.886607,[0.9993571 1.        0.9994275],15.999483,[0.9993571 1.        0.9994275],203.77861,,1112.1593,
3,0.8109611,[0.99995947 0.99993205 1.        ],2.602212,[0.99995947 0.99993205 1.        ],3.9660828,,21.273891,,10.676931,[1.        0.9996868 0.9982459],16.384724,[1.        0.9996868 0.9982459],230.70924,,1204.8135,
4,0.40540662,[1.        0.9999138 0.9994875],1.2228352,[1.        0.9999138 0.9994875],3.708244,,21.449306,,10.456825,[1.         0.99862003 0.99932003],15.648854,[1.         0.99862003 0.99932003],270.44397,,1411.893,
5,0.26815814,[1.        0.9999458 0.9999187],0.7652414,[1.        0.9999458 0.9999187],3.532687,,21.117136,,11.265363,[0.99968797 0.99947673 1.        ],15.769905,[0.99968797 0.99947673 1.        ],369.14313,,1933.9751,
6,0.08169962,[1.         0.99978864 0.9999861 ],0.21226533,[1.         0.99978864 0.9999861 ],2.655774,,16.835556,,8.363464,[1.         0.99924356 0.9997252 ],10.668424,[1.         0.99924356 0.9997252 ],260.10855,,1333.9044,
7,0.05963681,[1.         0.99950385 0.99966216],0.14632978,[1.         0.99950385 0.99966216],2.8078196,,18.009274,,7.1805887,[1.         0.99861    0.99736845],9.980487,[1.         0.99861    0.99736845],233.10384,,1242.0215,
8,0.037868075,[0.99961054 0.9997999  1.        ],0.08932435,[0.99961054 0.9997999  1.        ],2.4474416,,15.754679,,7.680846,[1.         0.9998815  0.99576265],10.176269,[1.         0.9998815  0.99576265],237.99236,,1225.1107,
9,0.02783264,[1.        0.9998805 0.9993665],0.06496523,[1.        0.9998805 0.9993665],2.1469748,,13.816971,,8.064357,[0.99958175 1.         0.9987527 ],10.370366,[0.99958175 1.         0.9987527 ],266.40744,,1374.1929,
10,0.01790178,[0.99947715 0.99945414 1.        ],0.041470435,[0.99947715 0.99945414 1.        ],1.7372252,,11.182358,,8.351351,[0.9992723 1.        0.9947747],10.32132,[0.9992723 1.        0.9947747],281.1747,,1441.482,
