,time [s]
initialize,0.003394
pretrain_policy,10.805231
initialize_CEGIS,0.245276
iter0_learner,8.693271
iter0_plot,0.268904
iter0_verifier,13.490432
iter0_process_counterexamples,0.122846
iter1_learner,49.21222
iter1_plot,0.005872
iter1_verifier,6.044585
iter1_process_counterexamples,0.037515
iter2_learner,49.5728
iter2_plot,0.005363
iter2_verifier,5.860602
iter2_process_counterexamples,0.031867
iter3_learner,50.619816
iter3_plot,0.005265
iter3_verifier,4.532153
iter3_process_counterexamples,0.037923
iter4_learner,49.98448
iter4_plot,0.005209
iter4_verifier,4.233224
iter4_process_counterexamples,0.031848
iter5_learner,50.199165
iter5_plot,0.005571
iter5_verifier,838.4327
iter5_process_counterexamples,0.037981
iter6_learner,48.317528
iter6_plot,0.005037
iter6_verifier,4.000151
iter6_process_counterexamples,0.030336
iter7_learner,48.54578
iter7_plot,0.005022
iter7_verifier,4.324155
iter7_process_counterexamples,0.035981
iter8_learner,47.3435
iter8_plot,0.005212
iter8_verifier,4.107497
iter8_process_counterexamples,0.030633
iter9_learner,47.184715
iter9_plot,0.005115
iter9_verifier,3.789693
iter9_process_counterexamples,0.034711
iter10_learner,46.897873
iter10_plot,0.005475
iter10_verifier,1001.23883
iter10_process_counterexamples,0.149326
