iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.232666,[1.         0.9992753  0.99990964],117.976685,[1.         0.9992753  0.99990964],113.3359,,728.0907,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,15.542337,[0.9996843  1.         0.99856293],44.915638,[0.9996843  1.         0.99856293],189.1074,,1083.9467,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,9.104108,[0.9996029 1.        0.9997629],16.370161,[0.9996029 1.        0.9997629],204.02716,,1106.6318,
3,0.7849181,[0.99994147 1.         0.9999606 ],2.51189,[0.99994147 1.         0.9999606 ],4.148429,,22.499844,,10.8206,[0.9999312 1.        0.9982855],16.962317,[0.9999312 1.        0.9982855],224.7055,,1177.6511,
4,0.3840972,[0.9999028 1.        0.9997299],1.1566124,[0.9999028 1.        0.9997299],3.8256078,,22.329851,,10.810919,[1.         0.9993812  0.99848187],16.304478,[1.         0.9993812  0.99848187],272.83368,,1426.4448,
5,0.3206917,[0.9998802 1.        0.9999694],0.9441405,[0.9998802 1.        0.9999694],3.7131336,,22.01275,,11.449702,[1.        0.9995216 0.9972526],16.904322,[1.        0.9995216 0.9972526],304.74908,,1597.9972,
6,0.085290335,[0.9997243 1.        0.9996981],0.22554986,[0.9997243 1.        0.9996981],2.7455668,,17.406483,,7.3590846,[0.9997111  1.         0.99500453],9.772362,[0.9997111  1.         0.99500453],204.95975,,1048.0127,
7,0.07266872,[0.99994224 1.         0.9998543 ],0.18744548,[0.99994224 1.         0.9998543 ],2.6972363,,17.262497,,8.299072,[0.999528   1.         0.99766886],11.093353,[0.999528   1.         0.99766886],221.35576,,1115.5834,
8,0.050573185,[0.99989665 0.9999613  1.        ],0.12586948,[0.99989665 0.9999613  1.        ],2.3973787,,15.467559,,8.715729,[0.9992043  1.         0.99388754],11.508904,[0.9992043  1.         0.99388754],269.60864,,1389.4849,
9,0.04460598,[0.99944466 1.         0.99966335],0.110353775,[0.99944466 1.         0.99966335],2.3121662,,14.949897,,8.689085,[1.         0.9989506  0.99668235],11.650579,[1.         0.9989506  0.99668235],291.48734,,1514.1362,
10,0.020548817,[0.9998857 0.9994152 1.       ],0.048340276,[0.9998857 0.9994152 1.       ],1.6809148,,10.939639,,7.842487,[1.        0.9998876 0.9932894],10.50432,[1.        0.9998876 0.9932894],247.87184,,1297.7675,
