,time [s]
initialize,0.003378
pretrain_policy,10.889406
initialize_CEGIS,0.245261
iter0_learner,17.647854
iter0_plot,0.271065
iter0_verifier,13.934721
iter0_process_counterexamples,0.048818
iter1_learner,116.98116
iter1_plot,0.004996
iter1_verifier,5.039845
iter1_process_counterexamples,0.031708
iter2_learner,114.081635
iter2_plot,0.005039
iter2_verifier,5.371946
iter2_process_counterexamples,0.030189
iter3_learner,115.38371
iter3_plot,0.005211
iter3_verifier,4.35143
iter3_process_counterexamples,0.035748
iter4_learner,115.205765
iter4_plot,0.005147
iter4_verifier,3.847328
iter4_process_counterexamples,0.036326
iter5_learner,115.307816
iter5_plot,0.005182
iter5_verifier,1027.2776
iter5_process_counterexamples,0.037528
iter6_learner,114.50591
iter6_plot,0.005223
iter6_verifier,4.056619
iter6_process_counterexamples,0.037399
iter7_learner,115.60154
iter7_plot,0.005112
iter7_verifier,3.873106
iter7_process_counterexamples,0.029675
iter8_learner,115.2798
iter8_plot,0.005165
iter8_verifier,3.797238
iter8_process_counterexamples,0.035739
iter9_learner,115.87532
iter9_plot,0.005286
iter9_verifier,687.41205
iter9_process_counterexamples,0.03675
iter10_learner,114.877365
iter10_plot,0.005367
iter10_verifier,3.786689
iter10_process_counterexamples,0.030117
