iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.323792,[0.99983287 0.9993992  1.        ],118.20518,[0.99983287 0.9993992  1.        ],113.389046,,728.6328,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,15.563002,[0.99936354 1.         0.9994996 ],44.849,[0.99936354 1.         0.9994996 ],191.58574,,1098.7714,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,9.275378,[0.99998426 1.         0.9999258 ],16.624924,[0.99998426 1.         0.9999258 ],206.9647,,1118.1328,
3,0.76664364,[0.9998658 1.        0.9998458],2.4699476,[0.9998658 1.        0.9998458],3.9119177,,21.156086,,10.775517,[1.        0.9994668 0.9982721],16.979923,[1.        0.9994668 0.9982721],226.41368,,1184.472,
4,0.3848678,[0.99996823 0.99991304 1.        ],1.1662712,[0.99996823 0.99991304 1.        ],3.6162026,,20.999935,,10.5602865,[0.9997338  1.         0.99971986],16.093441,[0.9997338  1.         0.99971986],275.5447,,1453.5532,
5,0.24566448,[0.9999974  1.         0.99977595],0.70184743,[0.9999974  1.         0.99977595],3.5262806,,21.308702,,11.841473,[1.        0.999333  0.9993293],17.02319,[1.        0.999333  0.9993293],436.1954,,2257.1829,
6,0.20809658,[0.9999584 0.9999525 1.       ],0.5838384,[0.9999584 0.9999525 1.       ],3.4181514,,20.844612,,11.96926,[0.99985236 1.         0.99875814],16.903536,[0.99985236 1.         0.99875814],503.5496,,2582.074,
7,0.062711455,[0.9997356 0.9999318 1.       ],0.15759908,[0.9997356 0.9999318 1.       ],2.6185915,,16.761738,,8.633759,[1.         0.99848574 0.99161506],10.933928,[1.         0.99848574 0.99161506],300.16467,,1590.0095,
8,0.053152394,[0.999865   1.         0.99989074],0.13308774,[0.999865   1.         0.99989074],2.4728565,,15.976315,,8.7390785,[0.99973315 1.         0.9975582 ],11.329163,[0.99973315 1.         0.9975582 ],299.6294,,1585.2063,
9,0.035222612,[1.         0.99992627 0.99998033],0.084793106,[1.         0.99992627 0.99998033],2.1151934,,13.742131,,9.602578,[1.        0.9978924 0.9965018],12.844101,[1.        0.9978924 0.9965018],491.7048,,2509.2551,
10,0.044565484,[0.9999381 0.9999559 1.       ],0.11579605,[0.9999381 0.9999559 1.       ],1.9972233,,12.936997,,9.757185,[0.9999345  0.99980026 1.        ],13.166669,[0.9999345  0.99980026 1.        ],572.90027,,2944.524,
