,time [s]
initialize,0.003354
pretrain_policy,10.283828
initialize_CEGIS,0.242297
iter0_learner,16.944946
iter0_plot,0.256438
iter0_verifier,13.274899
iter0_process_counterexamples,0.055607
iter1_learner,112.258766
iter1_plot,0.005154
iter1_verifier,5.013169
iter1_process_counterexamples,0.032161
iter2_learner,111.689064
iter2_plot,0.004934
iter2_verifier,4.965548
iter2_process_counterexamples,0.030107
iter3_learner,112.15783
iter3_plot,0.004801
iter3_verifier,4.179533
iter3_process_counterexamples,0.030304
iter4_learner,113.63038
iter4_plot,0.005031
iter4_verifier,3.776087
iter4_process_counterexamples,0.030845
iter5_learner,114.23844
iter5_plot,0.004957
iter5_verifier,3.729103
iter5_process_counterexamples,0.030666
iter6_learner,113.87817
iter6_plot,0.005098
iter6_verifier,984.77765
iter6_process_counterexamples,0.032451
iter7_learner,119.47289
iter7_plot,0.00515
iter7_verifier,3.987149
iter7_process_counterexamples,0.029924
iter8_learner,118.64636
iter8_plot,0.006003
iter8_verifier,3.961296
iter8_process_counterexamples,0.03156
iter9_learner,120.79249
iter9_plot,0.005361
iter9_verifier,4.128412
iter9_process_counterexamples,0.035644
iter10_learner,122.77097
iter10_plot,0.006123
