iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,22.309187,[0.9997783 0.998094  1.       ],118.316734,[0.9997783 0.998094  1.       ],113.48037,,728.64264,
1,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,13.260843,[0.999345   1.         0.99801147],35.890156,[0.999345   1.         0.99801147],186.66936,,1074.0242,
2,1.5496724,[0.99860317 1.         0.99433917],5.5134363,[0.99860317 1.         0.99433917],2.3329723,,9.929655,,8.799555,[0.9999098  1.         0.99960434],15.828193,[0.9999098  1.         0.99960434],203.50327,,1108.837,
3,0.80992633,[0.99996287 1.         0.99998266],2.5973809,[0.99996287 1.         0.99998266],3.9844558,,21.382607,,10.749836,[0.9998302 1.        0.9986654],16.42346,[0.9998302 1.        0.9986654],231.69388,,1213.2863,
4,0.41006082,[1.        0.9999351 0.9999601],1.2302586,[1.        0.9999351 0.9999601],3.8086603,,22.036528,,10.657488,[0.9998847  1.         0.99938315],15.938078,[0.9998847  1.         0.99938315],285.9853,,1506.4288,
5,0.2616834,[0.9999627  1.         0.99986035],0.7497147,[0.9999627  1.         0.99986035],3.491562,,20.930017,,11.0565815,[0.9998125  1.         0.99923456],15.640129,[0.9998125  1.         0.99923456],370.52304,,1958.2076,
6,0.09381978,[1.         0.99974185 0.9997237 ],0.24455085,[1.         0.99974185 0.9997237 ],2.8774688,,18.16122,,7.3759284,[0.9995665 1.        0.9970125],9.533873,[0.9995665 1.        0.9970125],237.9842,,1246.4834,
7,0.057984184,[0.9998704 1.        0.9998814],0.14283487,[0.9998704 1.        0.9998814],2.7085614,,17.355484,,7.3194575,[0.99927306 1.         0.9982488 ],9.981893,[0.99927306 1.         0.9982488 ],235.89647,,1244.0878,
8,0.03929735,[0.99932283 0.9994307  1.        ],0.092396125,[0.99932283 0.9994307  1.        ],2.5322437,,16.302355,,7.8067408,[1.         0.9994019  0.99723786],10.3441925,[1.         0.9994019  0.99723786],248.208,,1291.4097,
9,0.031745985,[0.9996342 0.9992701 1.       ],0.07492928,[0.9996342 0.9992701 1.       ],2.3234386,,14.946435,,8.047847,[1.         0.99965143 0.99925417],10.202543,[1.         0.99965143 0.99925417],305.37933,,1591.794,
10,0.028121317,[1.         0.99992615 0.99996585],0.068668894,[1.         0.99992615 0.99996585],2.1120276,,13.676744,,8.55458,[1.        0.9992238 0.9951325],10.628168,[1.        0.9992238 0.9951325],326.86755,,1691.7131,
