,time [s]
initialize,0.00369
pretrain_policy,10.711934
initialize_CEGIS,0.241421
iter0_learner,17.658655
iter0_plot,0.265825
iter0_verifier,13.627934
iter0_process_counterexamples,0.126176
iter1_learner,115.19684
iter1_plot,0.005069
iter1_verifier,5.343813
iter1_process_counterexamples,0.036659
iter2_learner,116.40213
iter2_plot,0.005152
iter2_verifier,5.563043
iter2_process_counterexamples,0.030743
iter3_learner,118.686424
iter3_plot,0.005435
iter3_verifier,4.411883
iter3_process_counterexamples,0.036435
iter4_learner,116.849464
iter4_plot,0.005241
iter4_verifier,3.7675
iter4_process_counterexamples,0.035251
iter5_learner,113.49557
iter5_plot,0.005716
iter5_verifier,1070.3622
iter5_process_counterexamples,0.03651
iter6_learner,114.77094
iter6_plot,0.005163
iter6_verifier,3.999192
iter6_process_counterexamples,0.030004
iter7_learner,118.67318
iter7_plot,0.006121
iter7_verifier,4.288027
iter7_process_counterexamples,0.035026
iter8_learner,120.37988
iter8_plot,0.005395
iter8_verifier,3.876032
iter8_process_counterexamples,0.030197
iter9_learner,115.58512
iter9_plot,0.005416
iter9_verifier,3.93354
iter9_process_counterexamples,0.029328
iter10_learner,114.167816
iter10_plot,0.005482
