iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,22.528873,[0.99962014 0.9991056  1.        ],118.82784,[0.99962014 0.9991056  1.        ],114.62876,,735.49945,
1,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,15.829181,[0.999514 0.999817 1.      ],46.059322,[0.999514 0.999817 1.      ],195.69278,,1128.8118,
2,1.60656,[0.9948878  0.99942183 1.        ],5.784154,[0.9948878  0.99942183 1.        ],2.3352757,,9.930516,,9.854593,[0.99929947 1.         0.9988638 ],18.97552,[0.99929947 1.         0.9988638 ],209.73293,,1142.3438,
3,0.7748854,[0.999916  1.        0.9998154],2.4795587,[0.999916  1.        0.9998154],3.5694642,,18.476343,,11.257681,[0.999829   1.         0.99887305],17.863523,[0.999829   1.         0.99887305],231.55006,,1208.6241,
4,0.38958356,[0.99998695 1.         0.9999013 ],1.1732808,[0.99998695 1.         0.9999013 ],3.0635111,,16.89988,,10.60123,[0.99970263 0.99972796 1.        ],16.1628,[0.99970263 0.99972796 1.        ],259.23355,,1359.3519,
5,0.29501447,[0.9999984  1.         0.99993855],0.8477953,[0.9999984  1.         0.99993855],3.174837,,18.071457,,11.15421,[1.         0.99997973 0.99728274],16.380625,[1.         0.99997973 0.99728274],349.84836,,1825.7296,
6,0.26591814,[0.9999408 0.9999885 1.       ],0.7553846,[0.9999408 0.9999885 1.       ],3.0935466,,17.773933,,10.89166,[0.9997308  0.99955285 1.        ],16.04688,[0.9997308  0.99955285 1.        ],380.6609,,1946.3468,
7,0.18222578,[0.9998365  1.         0.99994177],0.5030165,[0.9998365  1.         0.99994177],2.8480608,,16.894764,,13.813268,[1.         0.99940413 0.9998577 ],21.794043,[1.         0.99940413 0.9998577 ],800.8716,,3926.3,
8,0.15660354,[0.9995675 1.        0.999921 ],0.42955294,[0.9995675 1.        0.999921 ],2.636391,,15.745945,,13.4246435,[1.         0.99879706 0.99940455],21.66995,[1.         0.99879706 0.99940455],826.61725,,4038.2363,
9,0.12716797,[0.99997455 0.9999776  1.        ],0.3595506,[0.99997455 0.9999776  1.        ],2.3199823,,14.036417,,13.51801,[0.99922925 0.9987379  1.        ],22.269188,[0.99922925 0.9987379  1.        ],851.87836,,4210.661,
