,time [s]
initialize,0.003437
pretrain_policy,10.309655
initialize_CEGIS,0.245548
iter0_learner,12.587085
iter0_plot,0.252434
iter0_verifier,12.955277
iter0_process_counterexamples,0.055059
iter1_learner,79.132515
iter1_plot,0.005194
iter1_verifier,4.959153
iter1_process_counterexamples,0.031323
iter2_learner,77.91985
iter2_plot,0.004713
iter2_verifier,4.943096
iter2_process_counterexamples,0.037792
iter3_learner,81.18778
iter3_plot,0.00469
iter3_verifier,4.117684
iter3_process_counterexamples,0.036977
iter4_learner,80.870636
iter4_plot,0.005105
iter4_verifier,3.693814
iter4_process_counterexamples,0.037077
iter5_learner,80.7682
iter5_plot,0.005039
iter5_verifier,3.634364
iter5_process_counterexamples,0.037354
iter6_learner,80.78124
iter6_plot,0.004916
iter6_verifier,922.18787
