,time [s]
initialize,0.003256
pretrain_policy,10.244555
initialize_CEGIS,0.246489
iter0_learner,12.310989
iter0_plot,0.25112
iter0_verifier,12.963798
iter0_process_counterexamples,0.047064
iter1_learner,78.89112
iter1_plot,0.004785
iter1_verifier,4.892277
iter1_process_counterexamples,0.037769
iter2_learner,79.69683
iter2_plot,0.004723
iter2_verifier,4.97604
iter2_process_counterexamples,0.030726
iter3_learner,80.662636
iter3_plot,0.004765
iter3_verifier,3.914826
iter3_process_counterexamples,0.030301
iter4_learner,84.57151
iter4_plot,0.004766
iter4_verifier,3.7062
iter4_process_counterexamples,0.029746
iter5_learner,84.86585
iter5_plot,0.004848
iter5_verifier,3.51864
iter5_process_counterexamples,0.030023
iter6_learner,85.37511
iter6_plot,0.004856
iter6_verifier,962.7237
