,time [s]
initialize,0.003222
pretrain_policy,10.291812
initialize_CEGIS,0.245828
iter0_learner,12.902848
iter0_plot,0.25704
iter0_verifier,13.035964
iter0_process_counterexamples,0.054064
iter1_learner,80.20016
iter1_plot,0.00472
iter1_verifier,4.759554
iter1_process_counterexamples,0.030725
iter2_learner,78.76896
iter2_plot,0.004771
iter2_verifier,4.711801
iter2_process_counterexamples,0.029901
iter3_learner,80.08181
iter3_plot,0.004703
iter3_verifier,3.99455
iter3_process_counterexamples,0.029949
iter4_learner,79.948166
iter4_plot,0.004759
iter4_verifier,3.593994
iter4_process_counterexamples,0.02952
iter5_learner,80.05916
iter5_plot,0.004808
iter5_verifier,3.699711
iter5_process_counterexamples,0.036358
iter6_learner,80.3276
iter6_plot,0.005143
iter6_verifier,876.67194
