iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,21.840826,[1.         0.99896634 0.99990034],117.37479,[1.         0.99896634 0.99990034],111.68904,,723.1319,
1,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,15.417748,[0.9993796 0.9995458 1.       ],43.98805,[0.9993796 0.9995458 1.       ],187.4804,,1070.7369,
2,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,9.450877,[0.9996827  1.         0.99982435],17.012257,[0.9996827  1.         0.99982435],201.11766,,1082.8784,
3,0.74294573,[0.9999632 1.        0.999976 ],2.4276931,[0.9999632 1.        0.999976 ],4.173998,,22.98861,,10.630086,[0.9999786 1.        0.9985961],17.05689,[0.9999786 1.        0.9985961],211.86507,,1097.1868,
4,0.3345152,[0.9999841 0.9998059 1.       ],1.0051515,[0.9999841 0.9998059 1.       ],3.9255133,,23.337196,,10.2525215,[0.99983394 0.99943036 1.        ],15.717242,[0.99983394 0.99943036 1.        ],289.11566,,1515.2444,
5,0.2008423,[0.9999664 0.9998711 1.       ],0.56937295,[0.9999664 0.9998711 1.       ],3.6838634,,22.811905,,11.248913,[0.9999304  1.         0.99765193],16.64081,[0.9999304  1.         0.99765193],466.95563,,2449.354,
6,0.24070635,[0.9999063 1.        0.9999482],0.6788372,[0.9999063 1.        0.9999482],3.9985564,,24.60643,,11.676796,[0.9999723  0.99983996 1.        ],17.430304,[0.9999723  0.99983996 1.        ],519.4863,,2638.9622,
7,0.07906809,[0.9997468 1.        0.9999331],0.21201801,[0.9997468 1.        0.9999331],2.716309,,17.372768,,8.47945,[1.        0.9999863 0.9981499],10.59775,[1.        0.9999863 0.9981499],372.49933,,2011.6091,
8,0.0582827,[0.9998897 1.        0.9998598],0.15423876,[0.9998897 1.        0.9998598],2.3709772,,15.279105,,8.397248,[0.99964625 1.         0.9977008 ],10.943685,[0.99964625 1.         0.9977008 ],367.39838,,1964.8639,
9,0.05095077,[0.9998562  0.99997586 1.        ],0.13321428,[0.9998562  0.99997586 1.        ],2.195411,,14.12079,,9.022248,[0.999924   1.         0.99536663],12.109861,[0.999924   1.         0.99536663],410.4738,,2107.5554,
10,0.073736295,[0.9999061  0.99990815 1.        ],0.21108676,[0.9999061  0.99990815 1.        ],2.1416442,,13.742299,,9.47499,[0.9999131  1.         0.99282044],12.886212,[0.9999131  1.         0.99282044],397.85175,,2032.9454,
