,time [s]
initialize,0.003253
pretrain_policy,10.256408
initialize_CEGIS,0.241416
iter0_learner,12.938528
iter0_plot,0.257878
iter0_verifier,13.072806
iter0_process_counterexamples,0.124333
iter1_learner,79.49798
iter1_plot,0.004846
iter1_verifier,4.794037
iter1_process_counterexamples,0.036748
iter2_learner,78.15031
iter2_plot,0.004807
iter2_verifier,4.826716
iter2_process_counterexamples,0.036773
iter3_learner,79.088264
iter3_plot,0.004758
iter3_verifier,3.916549
iter3_process_counterexamples,0.037599
iter4_learner,79.28295
iter4_plot,0.00478
iter4_verifier,3.697015
iter4_process_counterexamples,0.03806
iter5_learner,79.35338
iter5_plot,0.004865
iter5_verifier,3.816642
iter5_process_counterexamples,0.028919
iter6_learner,78.96213
iter6_plot,0.004971
iter6_verifier,871.0771
iter6_process_counterexamples,0.028871
iter7_learner,85.40013
iter7_plot,0.004991
iter7_verifier,3.930862
iter7_process_counterexamples,0.036309
iter8_learner,85.38075
iter8_plot,0.005105
iter8_verifier,3.800829
iter8_process_counterexamples,0.029185
iter9_learner,85.11203
iter9_plot,0.005384
iter9_verifier,3.763975
iter9_process_counterexamples,0.036164
iter10_learner,86.55351
iter10_plot,0.005212
