iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,21.847527,[0.99957556 0.9984196  1.        ],117.49306,[0.99957556 0.9984196  1.        ],111.477875,,722.0266,
1,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,15.313263,[0.9996178 1.        0.9996504],43.83308,[0.9996178 1.        0.9996504],186.58276,,1066.9459,
2,1.5768783,[0.9999572 1.        0.9974815],5.672436,[0.9999572 1.        0.9974815],2.2938614,,9.991244,,9.345584,[0.9984089 0.9993227 1.       ],16.8135,[0.9984089 0.9993227 1.       ],205.10336,,1108.4283,
3,0.7645374,[1.        0.9999848 0.9999643],2.4902472,[1.        0.9999848 0.9999643],4.232136,,23.235994,,10.726764,[0.9990761 1.        0.9996824],17.489454,[0.9990761 1.        0.9996824],224.20175,,1165.5449,
4,0.3556436,[0.9998914 1.        0.9999297],1.0693505,[0.9998914 1.        0.9999297],3.956464,,23.439606,,10.7122345,[1.         0.99987495 0.99998504],16.713215,[1.         0.99987495 0.99998504],297.7925,,1567.8721,
5,0.30018133,[0.99990976 0.99993414 1.        ],0.88040066,[0.99990976 0.99993414 1.        ],3.880255,,23.322124,,10.623233,[0.99975336 0.9997617  1.        ],15.64063,[0.99975336 0.9997617  1.        ],333.16544,,1744.1324,
6,0.09503697,[0.99988914 1.         0.9996039 ],0.25998265,[0.99988914 1.         0.9996039 ],2.9377067,,18.688757,,8.156256,[1.        0.998438  0.9979003],11.3028145,[1.        0.998438  0.9979003],341.2427,,1751.7496,
7,0.101847835,[0.9998132  1.         0.99965787],0.2859001,[0.9998132  1.         0.99965787],2.7720952,,17.610573,,8.640432,[0.99998933 1.         0.9966656 ],11.833539,[0.99998933 1.         0.9966656 ],337.59006,,1711.1091,
8,0.0945022,[0.9997529  0.99991107 1.        ],0.2625637,[0.9997529  0.99991107 1.        ],2.641875,,16.76636,,9.010647,[0.99989355 1.         0.9979089 ],12.128626,[0.99989355 1.         0.9979089 ],358.52997,,1815.1166,
9,0.08215535,[0.9998744 0.9999581 1.       ],0.22465108,[0.9998744 0.9999581 1.       ],2.4360733,,15.440778,,9.135177,[1.         0.99949324 0.9983244 ],12.061831,[1.         0.99949324 0.9983244 ],392.37106,,1999.0752,
