iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.109845,[0.99999654 1.         0.99830323],7.4905596,[0.99999654 1.         0.99830323],2.5707023,,10.0115185,,24.67414,[0.99946046 1.         0.9996226 ],129.37802,[0.99946046 1.         0.9996226 ],115.03084,,737.77606,
1,2.109845,[0.99999654 1.         0.99830323],7.4905596,[0.99999654 1.         0.99830323],2.5707023,,10.0115185,,4.4124346,[0.9999071 1.        0.9999051],17.98162,[0.9999071 1.        0.9999051],69.070816,,450.69382,
2,2.109845,[0.99999654 1.         0.99830323],7.4905596,[0.99999654 1.         0.99830323],2.5707023,,10.0115185,,2.20864,[1.         0.99954206 0.99943155],6.9362073,[1.         0.99954206 0.99943155],54.383896,,350.15625,
3,0.5114085,[0.99987507 1.         0.99957633],1.6032826,[0.99987507 1.         0.99957633],3.1918871,,16.585985,,1.9964178,[1.         0.9999757  0.99874115],5.5472903,[1.         0.9999757  0.99874115],59.939674,,385.15707,
4,0.44846618,[0.99994993 1.         0.9990497 ],1.1317166,[0.99994993 1.         0.9990497 ],4.635191,,23.557978,,1.798205,[1.         0.99925596 0.9986963 ],4.5552692,[1.         0.99925596 0.9986963 ],63.646706,,408.91876,
5,0.5254747,[0.9996598  1.         0.99995583],1.2073581,[0.9996598  1.         0.99995583],6.5823746,,33.175747,,1.9611859,[1.        0.997036  0.9965334],4.7168856,[1.        0.997036  0.9965334],70.27989,,447.5027,
6,0.56535774,[0.9997982 1.        0.9987664],1.1816726,[0.9997982 1.        0.9987664],7.362164,,36.350338,,1.8542832,[0.9992446 1.        0.9961309],4.3203306,[0.9992446 1.        0.9961309],73.84912,,471.92908,
7,0.5460691,[1.         0.99963665 0.99893534],1.0936484,[1.         0.99963665 0.99893534],7.1099806,,34.754063,,1.8278246,[0.9984891 1.        0.9997654],4.142202,[0.9984891 1.        0.9997654],74.207985,,473.42838,
8,0.538969,[1.         0.99749213 0.99047583],1.0247926,[1.         0.99749213 0.99047583],8.568978,,41.481297,,1.7504535,[1.         0.98979557 0.9893646 ],3.8366086,[1.         0.98979557 0.9893646 ],78.84479,,504.40955,
9,0.72502065,[0.999933  0.9999426 1.       ],1.3381188,[0.999933  0.9999426 1.       ],9.646689,,45.639957,,1.7095971,[1.         0.9998074  0.99633104],3.623838,[1.         0.9998074  0.99633104],80.25616,,513.0322,
10,0.60355234,[0.99945706 1.         0.99890894],1.0596191,[0.99945706 1.         0.99890894],10.298406,,49.151905,,2.2714958,[1.         0.98175    0.97895986],4.6820464,[1.         0.98175    0.97895986],87.45453,,550.41425,
11,0.71882826,[1.         0.99938524 0.9615387 ],1.2644612,[1.         0.99938524 0.9615387 ],10.636626,,50.047974,,1.666025,[1.         0.9995438  0.98318386],3.4126341,[1.         0.9995438  0.98318386],82.4564,,529.2276,
