,time [s]
initialize,0.003873
pretrain_policy,10.109347
initialize_CEGIS,0.162583
iter0_learner,4.834617
iter0_plot,0.114728
iter0_verifier,17.639847
iter0_process_counterexamples,0.038682
iter1_learner,17.222155
iter1_plot,0.004443
iter1_verifier,17.90089
iter1_process_counterexamples,0.034162
iter2_learner,15.686284
iter2_plot,0.00483
iter2_verifier,20.349049
iter2_process_counterexamples,0.038973
iter3_learner,16.761618
iter3_plot,0.006954
iter3_verifier,20.193558
iter3_process_counterexamples,0.031946
iter4_learner,16.915901
iter4_plot,0.004734
iter4_verifier,19.970348
iter4_process_counterexamples,0.038188
iter5_learner,16.77996
iter5_plot,0.004762
iter5_verifier,19.673271
iter5_process_counterexamples,0.033011
iter6_learner,18.083515
iter6_plot,0.00643
iter6_verifier,20.816116
iter6_process_counterexamples,0.036445
iter7_learner,18.030748
iter7_plot,0.005255
iter7_verifier,20.659725
iter7_process_counterexamples,0.03279
iter8_learner,16.735476
iter8_plot,0.004972
iter8_verifier,19.487474
iter8_process_counterexamples,0.031243
iter9_learner,17.064226
iter9_plot,0.00583
iter9_verifier,19.519627
iter9_process_counterexamples,0.03626
iter10_learner,17.18406
iter10_plot,0.005338
iter10_verifier,17.301023
iter10_process_counterexamples,0.031976
iter11_learner,17.114826
iter11_plot,0.005465
iter11_verifier,2098.6401
