iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,50.26346,[1.         0.97618735 0.99963236],264.67313,[1.         0.97618735 0.99963236],163.64207,,1026.2686,
1,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,18.031672,[0.9993604 1.        0.9998178],85.431496,[0.9993604 1.        0.9998178],106.61281,,678.74677,
2,2.1173503,[1.        0.9999831 0.9990818],7.4528766,[1.        0.9999831 0.9990818],2.5409184,,9.980586,,11.577398,[0.99980766 1.         0.999711  ],48.432854,[0.99980766 1.         0.999711  ],90.97204,,574.18646,
3,0.56624275,[1.         0.99999875 0.99989367],2.1350312,[1.         0.99999875 0.99989367],1.6448572,,8.348758,,8.531123,[0.99998146 1.         0.99977916],33.632442,[0.99998146 1.         0.99977916],81.21924,,514.88635,
4,0.44808865,[1.         0.9999949  0.99980897],1.5388628,[1.         0.9999949  0.99980897],1.976703,,10.268061,,7.48154,[0.9999799 1.        0.9999264],26.998762,[0.9999799 1.        0.9999264],78.7892,,494.20706,
5,0.43587103,[0.99995744 1.         0.99984413],1.3903518,[0.99995744 1.         0.99984413],2.3773725,,12.325863,,6.5286827,[0.99981874 1.         0.99915016],21.737082,[0.99981874 1.         0.99915016],78.187614,,487.29825,
6,0.4549089,[0.9999655 1.        0.9999838],1.3904088,[0.9999655 1.        0.9999838],2.6592216,,13.705302,,5.910887,[1.         0.9998784  0.99949986],18.202564,[1.         0.9998784  0.99949986],80.06394,,498.81583,
7,0.4926343,[0.9999536 1.        0.9993771],1.4271376,[0.9999536 1.        0.9993771],3.2587326,,16.687065,,5.84348,[1.        0.999612  0.9984235],17.034988,[1.        0.999612  0.9984235],84.53859,,524.5222,
8,0.5005234,[1.        0.9999679 0.9995845],1.4097637,[1.        0.9999679 0.9995845],3.3560903,,17.057446,,5.5710316,[1.         0.9999422  0.99629563],15.121537,[1.         0.9999422  0.99629563],90.15388,,557.43506,
9,0.5486977,[0.9999948  1.         0.99363875],1.4830198,[0.9999948  1.         0.99363875],3.9384542,,19.87237,,5.491683,[0.99979156 1.         0.97936547],14.359869,[0.99979156 1.         0.97936547],92.029724,,568.19885,
