,time [s]
initialize,0.003563
pretrain_policy,10.043373
initialize_CEGIS,0.179684
iter0_learner,3.684106
iter0_plot,0.112605
iter0_verifier,3.86542
iter0_process_counterexamples,0.042858
iter1_learner,4.733836
iter1_plot,0.004788
iter1_verifier,3.600156
iter1_process_counterexamples,0.034725
iter2_learner,3.458814
iter2_plot,0.004571
iter2_verifier,3.608949
iter2_process_counterexamples,0.032804
iter3_learner,3.763486
iter3_plot,0.004665
iter3_verifier,3.706607
iter3_process_counterexamples,0.106179
iter4_learner,3.764434
iter4_plot,0.004775
iter4_verifier,3.654612
iter4_process_counterexamples,0.030592
iter5_learner,3.750011
iter5_plot,0.004859
iter5_verifier,3.77605
iter5_process_counterexamples,0.029849
iter6_learner,3.755551
iter6_plot,0.004951
iter6_verifier,3.664619
iter6_process_counterexamples,0.029948
iter7_learner,3.821398
iter7_plot,0.005145
iter7_verifier,3.918834
iter7_process_counterexamples,0.029954
iter8_learner,3.819217
iter8_plot,0.005029
iter8_verifier,1419.5363
