,time [s]
initialize,0.003389
pretrain_policy,10.022879
initialize_CEGIS,0.174657
iter0_learner,3.676238
iter0_plot,0.111381
iter0_verifier,3.971188
iter0_process_counterexamples,0.046426
iter1_learner,4.796898
iter1_plot,0.004873
iter1_verifier,3.654257
iter1_process_counterexamples,0.035295
iter2_learner,3.463118
iter2_plot,0.004757
iter2_verifier,3.748148
iter2_process_counterexamples,0.033006
iter3_learner,3.711386
iter3_plot,0.004705
iter3_verifier,3.668012
iter3_process_counterexamples,0.03137
iter4_learner,3.699625
iter4_plot,0.004762
iter4_verifier,3.849473
iter4_process_counterexamples,0.031165
iter5_learner,3.68326
iter5_plot,0.004895
iter5_verifier,3.953643
iter5_process_counterexamples,0.030567
iter6_learner,3.650136
iter6_plot,0.005009
iter6_verifier,3.881674
iter6_process_counterexamples,0.030336
iter7_learner,3.676877
iter7_plot,0.004959
iter7_verifier,144.27538
iter7_process_counterexamples,0.070064
iter8_learner,3.740467
iter8_plot,0.005061
iter8_verifier,4.690853
iter8_process_counterexamples,0.034226
iter9_learner,3.744576
iter9_plot,0.005093
iter9_verifier,124.80724
iter9_process_counterexamples,0.060116
iter10_learner,3.849578
iter10_plot,0.005259
iter10_verifier,1108.3573
