,time [s]
initialize,0.003977
pretrain_policy,9.996375
initialize_CEGIS,0.175287
iter0_learner,3.925192
iter0_plot,0.114701
iter0_verifier,3.883878
iter0_process_counterexamples,0.046755
iter1_learner,4.859773
iter1_plot,0.004777
iter1_verifier,4.159539
iter1_process_counterexamples,0.034659
iter2_learner,3.379318
iter2_plot,0.004765
iter2_verifier,4.188086
iter2_process_counterexamples,0.033144
iter3_learner,3.624556
iter3_plot,0.004642
iter3_verifier,4.200466
iter3_process_counterexamples,0.037237
iter4_learner,3.66075
iter4_plot,0.004781
iter4_verifier,4.301111
iter4_process_counterexamples,0.030798
iter5_learner,3.645901
iter5_plot,0.004801
iter5_verifier,4.317175
iter5_process_counterexamples,0.031077
iter6_learner,3.659946
iter6_plot,0.004901
iter6_verifier,139.89609
iter6_process_counterexamples,0.070775
iter7_learner,3.60479
iter7_plot,0.004934
iter7_verifier,1776.7329
