,time [s]
initialize,0.00357
pretrain_policy,10.18003
initialize_CEGIS,0.177074
iter0_learner,3.981252
iter0_plot,0.118684
iter0_verifier,4.02292
iter0_process_counterexamples,0.046447
iter1_learner,5.044849
iter1_plot,0.004608
iter1_verifier,4.265143
iter1_process_counterexamples,0.036295
iter2_learner,3.518725
iter2_plot,0.004594
iter2_verifier,4.263651
iter2_process_counterexamples,0.109526
iter3_learner,3.767865
iter3_plot,0.00471
iter3_verifier,4.442067
iter3_process_counterexamples,0.032216
iter4_learner,3.728486
iter4_plot,0.005271
iter4_verifier,4.429561
iter4_process_counterexamples,0.031559
iter5_learner,3.80865
iter5_plot,0.004805
iter5_verifier,4.290062
iter5_process_counterexamples,0.031359
iter6_learner,3.92041
iter6_plot,0.005001
iter6_verifier,140.76965
iter6_process_counterexamples,0.071256
iter7_learner,3.948843
iter7_plot,0.005155
iter7_verifier,4.329612
iter7_process_counterexamples,0.032726
iter8_learner,3.942234
iter8_plot,0.004988
iter8_verifier,110.92799
iter8_process_counterexamples,0.057443
iter9_learner,3.930656
iter9_plot,0.005306
iter9_verifier,1171.8109
