iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.391296,[0.9996285  0.97623366 1.        ],266.12582,[0.9996285  0.97623366 1.        ],164.5102,,1033.245,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.192514,[0.99977887 0.99991393 1.        ],86.62716,[0.99977887 0.99991393 1.        ],106.7004,,677.54474,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.797243,[1.         0.9999364  0.99972737],49.34946,[1.         0.9999364  0.99972737],94.67051,,595.6952,
3,0.6049483,[0.99998415 1.         0.99993473],2.267326,[0.99998415 1.         0.99993473],1.3333318,,6.40027,,8.862519,[1.         0.99953055 0.9999337 ],34.390373,[1.         0.99953055 0.9999337 ],84.79507,,531.82477,
4,0.42645532,[1.        0.9999981 0.9997364],1.4631782,[1.        0.9999981 0.9997364],1.5270745,,7.611524,,7.316935,[0.99995947 1.         0.9999221 ],26.22285,[0.99995947 1.         0.9999221 ],78.217636,,489.21988,
5,0.42502055,[0.99994975 1.         0.9999207 ],1.347741,[0.99994975 1.         0.9999207 ],1.9929928,,9.945681,,6.7663207,[0.99976057 1.         0.9991614 ],21.994436,[0.99976057 1.         0.9991614 ],78.730644,,489.04663,
6,0.49434623,[1.         0.99997276 0.99975616],1.485916,[1.         0.99997276 0.99975616],2.570565,,12.664793,,6.3122067,[1.         0.9990612  0.99882305],19.04351,[1.         0.9990612  0.99882305],79.04039,,485.86954,
7,0.5021072,[1.         0.99996966 0.99976736],1.429612,[1.         0.99996966 0.99976736],2.7737584,,13.519482,,5.7523804,[1.        0.9993472 0.9983865],16.371277,[1.        0.9993472 0.9983865],77.810715,,477.9272,
8,0.5119666,[1.         0.99998116 0.9981578 ],1.394374,[1.         0.99998116 0.9981578 ],3.1635296,,15.347705,,5.6562424,[1.         0.9998174  0.99240524],15.260029,[1.         0.9998174  0.99240524],79.85674,,487.03003,
9,0.58297837,[1.         0.99988353 0.99523675],1.5562947,[1.         0.99988353 0.99523675],3.5605483,,17.150846,,5.569655,[1.        0.9998049 0.9820296],14.298579,[1.        0.9998049 0.9820296],83.7379,,508.18158,
