,time [s]
initialize,0.003564
pretrain_policy,10.424539
initialize_CEGIS,0.178303
iter0_learner,4.281595
iter0_plot,0.119087
iter0_verifier,4.142458
iter0_process_counterexamples,0.042897
iter1_learner,5.248918
iter1_plot,0.005026
iter1_verifier,4.283032
iter1_process_counterexamples,0.036619
iter2_learner,3.521616
iter2_plot,0.004811
iter2_verifier,4.298286
iter2_process_counterexamples,0.032392
iter3_learner,3.770614
iter3_plot,0.004714
iter3_verifier,4.314643
iter3_process_counterexamples,0.031234
iter4_learner,3.769646
iter4_plot,0.004702
iter4_verifier,4.377884
iter4_process_counterexamples,0.030934
iter5_learner,3.782111
iter5_plot,0.004816
iter5_verifier,4.701432
iter5_process_counterexamples,0.030765
iter6_learner,3.81767
iter6_plot,0.004882
iter6_verifier,144.91669
iter6_process_counterexamples,0.076444
iter7_learner,3.774306
iter7_plot,0.004955
iter7_verifier,141.9417
iter7_process_counterexamples,0.068225
iter8_learner,3.934577
iter8_plot,0.005117
iter8_verifier,1538.8196
iter8_process_counterexamples,0.091939
iter9_learner,4.150654
iter9_plot,0.005125
iter9_verifier,1216.9694
