iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.36416,[0.9999956 0.9768411 1.       ],265.069,[0.9999956 0.9768411 1.       ],163.80583,,1026.7428,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.270626,[0.9997893 1.        0.9997276],87.16252,[0.9997893 1.        0.9997276],105.40185,,667.3718,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.782497,[1.        0.9999799 0.9999664],49.520412,[1.        0.9999799 0.9999664],93.938644,,589.5248,
3,0.6062617,[1.        0.9999764 0.9999243],2.2658422,[1.        0.9999764 0.9999243],1.3030975,,6.2041903,,8.963781,[1.         0.99988323 0.9999715 ],34.942432,[1.         0.99988323 0.9999715 ],84.918625,,532.3646,
4,0.39610124,[0.9999654  1.         0.99976546],1.3536633,[0.9999654  1.         0.99976546],1.4600607,,7.293023,,7.3712807,[0.99998486 1.         0.9999318 ],26.568592,[0.99998486 1.         0.9999318 ],77.66715,,484.6215,
5,0.43581957,[1.        0.9999827 0.999789 ],1.3803182,[1.        0.9999827 0.999789 ],1.9404477,,9.608985,,6.732485,[1.         0.999996   0.99997145],22.158138,[1.         0.999996   0.99997145],78.778145,,489.82443,
6,0.47802627,[1.         0.9999712  0.99986064],1.4378048,[1.         0.9999712  0.99986064],2.4514701,,12.047931,,6.240092,[1.         0.9990326  0.99863744],19.013767,[1.         0.9990326  0.99863744],78.4231,,482.63312,
7,0.4750803,[1.        0.9999627 0.9995758],1.3443232,[1.        0.9999627 0.9995758],2.6733866,,13.033131,,5.876196,[1.        0.9996349 0.9999318],16.753056,[1.        0.9996349 0.9999318],81.1927,,498.6439,
8,0.5225867,[0.9999632 1.        0.9970488],1.4215028,[0.9999632 1.        0.9970488],3.133352,,15.137218,,5.7730136,[0.99994355 1.         0.985807  ],15.666565,[0.99994355 1.         0.985807  ],83.419556,,509.58923,
9,0.5153442,[1.         0.9999924  0.99872094],1.3416121,[1.         0.9999924  0.99872094],3.336152,,16.053215,,5.401112,[1.        0.9993341 0.9732045],14.125282,[1.        0.9993341 0.9732045],85.8891,,524.17505,
10,0.52162474,[0.99997705 1.         0.99493974],1.3183191,[0.99997705 1.         0.99493974],3.5709574,,17.115646,,5.6567416,[1.        0.999633  0.9469812],14.22189,[1.        0.999633  0.9469812],91.25154,,553.03046,
