iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.43412,[0.99997616 0.9767893  1.        ],265.30652,[0.99997616 0.9767893  1.        ],164.07468,,1029.7043,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.296516,[0.9994283 0.9998377 1.       ],87.07354,[0.9994283 0.9998377 1.       ],105.88521,,670.3667,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.914612,[0.9996518 1.        0.999824 ],49.847466,[0.9996518 1.        0.999824 ],94.925446,,595.9482,
3,0.6024239,[0.9999963 1.        0.9997227],2.2528017,[0.9999963 1.        0.9997227],1.3026135,,6.222841,,8.913738,[1.        0.9997656 0.9999551],34.71011,[1.        0.9997656 0.9999551],84.8659,,532.55444,
4,0.42879283,[0.99999815 1.         0.99979305],1.4690433,[0.99999815 1.         0.99979305],1.5232525,,7.5838,,7.355211,[0.99996215 1.         0.9997124 ],26.374308,[0.99996215 1.         0.9997124 ],77.52023,,483.69577,
5,0.4208066,[0.99999136 1.         0.9998017 ],1.3307354,[0.99999136 1.         0.9998017 ],1.9872478,,9.901286,,6.690395,[0.9998642 0.9998725 1.       ],21.797552,[0.9998642 0.9998725 1.       ],77.19786,,478.39746,
6,0.48953325,[1.         0.99997044 0.9996767 ],1.4720392,[1.         0.99997044 0.9996767 ],2.5230145,,12.408253,,6.1811776,[1.        0.999769  0.9994261],18.6822,[1.        0.999769  0.9994261],77.24924,,474.57266,
7,0.48610765,[0.99999434 1.         0.99978477],1.3811511,[0.99999434 1.         0.99978477],2.7530665,,13.451909,,5.747582,[1.        0.9993229 0.9994427],16.39813,[1.        0.9993229 0.9994427],77.6511,,476.56842,
8,0.52386713,[1.        0.9999806 0.9972328],1.4315672,[1.        0.9999806 0.9972328],3.1757731,,15.397091,,5.520949,[0.9999184 1.        0.9913006],15.206221,[0.9999184 1.        0.9913006],78.23257,,477.5912,
9,0.4829227,[1.         0.99998176 0.99961257],1.2626313,[1.         0.99998176 0.99961257],3.218919,,15.570992,,5.4428573,[1.         0.9994649  0.98717946],14.113261,[1.         0.9994649  0.98717946],82.88645,,500.73795,
