iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,50.69335,[0.9996433  0.97635597 1.        ],266.65527,[0.9996433  0.97635597 1.        ],164.99515,,1034.9661,
1,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,18.27448,[0.99921864 0.9997198  1.        ],87.18279,[0.99921864 0.9997198  1.        ],105.67357,,670.2444,
2,2.2003512,[0.9993375  1.         0.99873924],7.938726,[0.9993375  1.         0.99873924],2.548973,,9.988702,,11.895858,[0.99971616 1.         0.9998436 ],49.961025,[0.99971616 1.         0.9998436 ],94.70654,,596.9318,
3,0.6022644,[1.         0.99995536 0.99989885],2.2597182,[1.         0.99995536 0.99989885],1.3093965,,6.2564425,,8.96231,[1.         0.99990577 0.9999019 ],35.003723,[1.         0.99990577 0.9999019 ],85.18888,,536.29333,
4,0.44248068,[0.9999401 1.        0.9997872],1.5144622,[0.9999401 1.        0.9997872],1.5442835,,7.6602974,,7.377142,[1.         0.99964184 0.9999784 ],26.617128,[1.         0.99964184 0.9999784 ],78.264175,,490.2129,
5,0.42082825,[0.9999205 1.        0.9997155],1.3301243,[0.9999205 1.        0.9997155],1.9575543,,9.730558,,6.7381663,[0.99961054 0.9999443  1.        ],22.072727,[0.99961054 0.9999443  1.        ],77.60661,,481.45538,
6,0.48403636,[0.9999354 1.        0.9996569],1.4537525,[0.9999354 1.        0.9996569],2.4692976,,12.123168,,6.1186633,[1.        0.999319  0.9997115],18.64692,[1.        0.999319  0.9997115],76.57291,,471.87244,
7,0.4802415,[0.9998913  1.         0.99966073],1.3667736,[0.9998913  1.         0.99966073],2.7229588,,13.328071,,5.9295225,[1.         0.99943906 0.9987334 ],17.014275,[1.         0.99943906 0.9987334 ],80.14839,,492.82114,
8,0.52041274,[0.9998818 1.        0.9974768],1.4212234,[0.9998818 1.        0.9974768],3.1285305,,15.151685,,5.62514,[1.         0.99894786 0.99051493],15.3481245,[1.         0.99894786 0.99051493],80.63292,,492.05945,
9,0.5094922,[0.9999013  1.         0.99945897],1.3332564,[0.9999013  1.         0.99945897],3.3429432,,16.153494,,5.560111,[1.        0.9994458 0.9771913],14.46818,[1.        0.9994458 0.9771913],85.44924,,519.1681,
10,0.54685605,[0.99999905 1.         0.9936878 ],1.3867736,[0.99999905 1.         0.9936878 ],3.7268958,,17.88125,,6.0698204,[1.        0.9998481 0.945327 ],16.101187,[1.        0.9998481 0.945327 ],91.31177,,554.2551,
