,time [s]
initialize,0.00335
pretrain_policy,10.032496
initialize_CEGIS,0.178535
iter0_learner,3.709519
iter0_plot,0.113864
iter0_verifier,3.97552
iter0_process_counterexamples,0.041435
iter1_learner,4.665147
iter1_plot,0.004626
iter1_verifier,4.235595
iter1_process_counterexamples,0.03534
iter2_learner,3.372698
iter2_plot,0.004748
iter2_verifier,4.18253
iter2_process_counterexamples,0.032732
iter3_learner,3.699675
iter3_plot,0.004663
iter3_verifier,4.396622
iter3_process_counterexamples,0.031706
iter4_learner,3.658975
iter4_plot,0.004831
iter4_verifier,4.279071
iter4_process_counterexamples,0.032271
iter5_learner,3.664417
iter5_plot,0.004877
iter5_verifier,4.593011
iter5_process_counterexamples,0.03147
iter6_learner,3.696601
iter6_plot,0.004927
iter6_verifier,150.0067
iter6_process_counterexamples,0.077601
iter7_learner,3.759719
iter7_plot,0.004989
iter7_verifier,4.330971
iter7_process_counterexamples,0.029651
iter8_learner,3.790685
iter8_plot,0.005039
iter8_verifier,134.8031
iter8_process_counterexamples,0.056954
iter9_learner,3.864854
iter9_plot,0.00511
iter9_verifier,4.50452
iter9_process_counterexamples,0.033108
iter10_learner,3.757626
iter10_plot,0.005157
iter10_verifier,1276.4124
