iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.257581,[1.        0.999778  0.9996277],8.165757,[1.        0.999778  0.9996277],2.5745287,,10.0371,,50.32279,[1.         0.975786   0.99990577],264.55154,[1.         0.975786   0.99990577],164.02927,,1027.5963,
1,2.257581,[1.        0.999778  0.9996277],8.165757,[1.        0.999778  0.9996277],2.5745287,,10.0371,,17.577822,[0.9995151  0.99957913 1.        ],83.77514,[0.9995151  0.99957913 1.        ],103.54232,,660.49036,
2,2.257581,[1.        0.999778  0.9996277],8.165757,[1.        0.999778  0.9996277],2.5745287,,10.0371,,11.31064,[0.9997401 0.9999529 1.       ],47.83953,[0.9997401 0.9999529 1.       ],91.05148,,580.1072,
3,0.56742865,[1.         0.99999857 0.99997485],2.1682904,[1.         0.99999857 0.99997485],1.7663809,,9.16237,,8.583751,[1.         0.99998736 0.99989074],34.00093,[1.         0.99998736 0.99989074],83.00286,,528.44385,
4,0.5412955,[0.99985856 1.         0.9998985 ],1.9098235,[0.99985856 1.         0.9998985 ],1.8777401,,9.588347,,7.2946763,[0.9999565  0.99985135 1.        ],26.537899,[0.9999565  0.99985135 1.        ],79.551544,,502.53528,
5,0.44573295,[0.99982846 1.         0.9997037 ],1.4637203,[0.99982846 1.         0.9997037 ],2.1870496,,11.320915,,6.435701,[1.        0.9992542 0.9994524],21.191975,[1.        0.9992542 0.9994524],80.53548,,507.18997,
6,0.3888994,[0.99991226 1.         0.99982   ],1.1890218,[0.99991226 1.         0.99982   ],2.1865692,,11.155923,,5.980175,[1.        0.999615  0.9993142],18.038109,[1.        0.999615  0.9993142],83.68413,,523.1861,
7,0.50696176,[0.999979  1.        0.9998219],1.495609,[0.999979  1.        0.9998219],3.3009396,,16.696669,,5.700245,[1.         0.99994993 0.9949151 ],16.252493,[1.         0.99994993 0.9949151 ],86.13605,,535.81433,
8,0.5194119,[1.        0.9999729 0.9998542],1.457449,[1.        0.9999729 0.9998542],3.3963299,,16.97124,,5.7813764,[1.        0.9990228 0.9849859],15.589606,[1.        0.9990228 0.9849859],93.28744,,575.61017,
9,0.5348096,[1.         0.9999977  0.99826866],1.4394481,[1.         0.9999977  0.99826866],3.995654,,19.861643,,5.5625334,[1.        0.9999393 0.9700525],14.4959135,[1.        0.9999393 0.9700525],94.52882,,584.5098,
